expr,time
mean(x),303324
skew4(x),12683458
sd(x),462537
sum(x),82497
mean(x),166379
sum(x),80384
skew4(x),12800766
mean(x),171299
sum(x),80676
skew4(x),12673777
kurt5(x),13394453
kurtosis(x),24148729
sum(x),84433
skew4(x),12712740
dumbk(x),15395181
sum(x),80690
skew4(x),12674810
skewness(x),7404358
sd3(x),898981
kurtosis(x),7477982
sd(x),379912
mean(x),164678
kurt5(x),13335603
sum(x),84572
skewness(x),7308604
sd(x),365353
mean(x),170379
sd3(x),857127
skewness(x),7425294
kurtosis(x),7371032
mean(x),168908
sum(x),82489
kurtosis(x),7321890
mean(x),174441
sum(x),80251
sd(x),421582
kurt5(x),13190071
skew4(x),13505278
skew4(x),13752753
skew4(x),13548317
kurtosis(x),7784562
sum(x),83542
sd3(x),965482
sd3(x),897239
sum(x),118792
skewness(x),7863442
mean(x),225643
sum(x),82484
sd3(x),912534
dumbk(x),29541009
sum(x),99382
sd(x),352655
sd(x),330622
kurtosis(x),7181560
dumbk(x),15263766
sum(x),82536
sum(x),80131
skewness(x),7386368
sum(x),80499
sd(x),372320
sum(x),80023
sd(x),330894
sum(x),80058
kurt5(x),13270594
skew4(x),12725378
skew4(x),12752735
kurt5(x),13391284
mean(x),182048
sum(x),83619
sd(x),373824
sd(x),386951
dumbk(x),15638850
kurt5(x),13201791
kurt5(x),13503089
skew4(x),12777107
sd(x),393295
dumbk(x),16672510
sum(x),81365
sd(x),334452
sum(x),99141
dumbk(x),15491692
kurtosis(x),7438112
kurt5(x),13372140
sd(x),366143
sd3(x),875050
mean(x),168547
dumbk(x),16422173
sd(x),333566
skewness(x),7430315
sum(x),80997
sum(x),79954
skew4(x),12703716
kurtosis(x),7244993
kurt5(x),13553817
dumbk(x),15469494
sum(x),80754
dumbk(x),15348682
dumbk(x),15574858
kurt5(x),13144229
sum(x),81314
sd3(x),876491
kurt5(x),13236084
mean(x),168562
skew4(x),12533740
sd(x),349178
sd3(x),854856
kurt5(x),13628894
sum(x),81184
kurt5(x),13197684
dumbk(x),15296778
kurtosis(x),7234815
skew4(x),13055397
skewness(x),7470368
skewness(x),7476746
sd3(x),862826
skewness(x),7431564
dumbk(x),15358054
mean(x),162918
skew4(x),13024406
sd3(x),860161
sd(x),350374
sd3(x),871415
sum(x),80864
sd3(x),853446
skew4(x),12691709
skew4(x),12759634
mean(x),170263
sd3(x),852040
sd(x),345208
dumbk(x),15708427
skewness(x),7279646
kurt5(x),15283606
sd3(x),983317
dumbk(x),15521375
sum(x),81197
skewness(x),7734658
kurt5(x),13281437
dumbk(x),15401880
sum(x),81183
dumbk(x),15447739
dumbk(x),15775810
sd(x),335073
mean(x),162889
mean(x),161924
sd3(x),863099
kurtosis(x),7543094
kurt5(x),13268994
sd3(x),854201
mean(x),167716
dumbk(x),15977728
sum(x),80933
kurtosis(x),7454195
skewness(x),7448091
skewness(x),7462308
skewness(x),7386454
sd3(x),912774
dumbk(x),15601697
kurt5(x),13515458
kurtosis(x),7423465
sd(x),363841
skewness(x),7516035
skewness(x),7466954
kurt5(x),13113750
mean(x),193024
sd(x),472436
dumbk(x),15904138
kurt5(x),13171071
sum(x),81556
mean(x),167422
kurtosis(x),7327041
dumbk(x),15490179
kurtosis(x),7709052
skewness(x),7434677
skew4(x),12768624
skewness(x),7485318
skewness(x),7434529
dumbk(x),15671021
skew4(x),12823188
skewness(x),7327933
sd3(x),857367
