expr,time
mean(x),280007
skew4(x),15392677
sd(x),621327
sum(x),118705
mean(x),173190
sum(x),82230
skew4(x),15150872
mean(x),169301
sum(x),82240
skew4(x),15362117
kurt5(x),16031294
kurtosis(x),20011162
sum(x),120964
skew4(x),14987364
dumbk(x),17975417
sum(x),102359
skew4(x),14580458
skewness(x),8629270
sd3(x),885194
kurtosis(x),8596211
sd(x),530612
mean(x),166035
kurt5(x),15324452
sum(x),80149
skewness(x),8546010
sd(x),470530
mean(x),176025
sd3(x),918499
skewness(x),8640020
kurtosis(x),8356958
mean(x),164286
sum(x),79840
kurtosis(x),8453858
mean(x),163863
sum(x),79885
sd(x),528749
kurt5(x),16802403
skew4(x),15349447
skew4(x),14844915
skew4(x),14661075
kurtosis(x),8839813
sum(x),80798
sd3(x),950076
sd3(x),963857
sum(x),86714
skewness(x),10825657
mean(x),167302
sum(x),79924
sd3(x),860026
dumbk(x),17771379
sum(x),80159
sd(x),460125
sd(x),462869
kurtosis(x),8489800
dumbk(x),17866284
sum(x),80433
sum(x),79774
skewness(x),8628508
sum(x),80031
sd(x),518450
sum(x),79857
sd(x),481999
sum(x),79804
kurt5(x),15429136
skew4(x),14643059
skew4(x),15501694
kurt5(x),16474516
mean(x),191690
sum(x),87524
sd(x),514094
sd(x),549766
dumbk(x),18992286
kurt5(x),16418183
kurt5(x),16468126
skew4(x),15619147
sd(x),513349
dumbk(x),20478078
sum(x),87225
sd(x),514365
sum(x),97349
dumbk(x),21151317
kurtosis(x),8785889
kurt5(x),15674964
sd(x),483941
sd3(x),1033176
mean(x),169160
dumbk(x),18080600
sd(x),459345
skewness(x),8755099
sum(x),80051
sum(x),117256
skew4(x),15075678
kurtosis(x),9108081
kurt5(x),15910387
dumbk(x),17799394
sum(x),80375
dumbk(x),19207353
dumbk(x),17681001
kurt5(x),15323746
sum(x),81216
sd3(x),851918
kurt5(x),15256509
mean(x),170118
skew4(x),15157870
sd(x),532858
sd3(x),853850
kurt5(x),15477593
sum(x),80666
kurt5(x),15350739
dumbk(x),18037021
kurtosis(x),8443742
skew4(x),15124273
skewness(x),8848602
skewness(x),9852756
sd3(x),892258
skewness(x),9238158
dumbk(x),20898181
mean(x),163168
skew4(x),15216159
sd3(x),873957
sd(x),466005
sd3(x),900284
sum(x),80176
sd3(x),923371
skew4(x),14679534
skew4(x),14806160
mean(x),165146
sd3(x),917106
sd(x),462604
dumbk(x),17952409
skewness(x),8655528
kurt5(x),15383130
sd3(x),852194
dumbk(x),18348613
sum(x),80286
skewness(x),8794941
kurt5(x),16251177
dumbk(x),17649340
sum(x),80291
dumbk(x),19611252
dumbk(x),19185804
sd(x),496274
mean(x),173483
mean(x),161903
sd3(x),868946
kurtosis(x),9358369
kurt5(x),15830331
sd3(x),852165
mean(x),169465
dumbk(x),17843432
sum(x),80171
kurtosis(x),8494265
skewness(x),8534961
skewness(x),8874819
