expr,time
mean(x),313575
skew4(x),9611331
sd(x),684162
sum(x),89721
mean(x),183788
sum(x),84686
skew4(x),9692222
mean(x),209643
sum(x),87917
skew4(x),9936237
kurt5(x),17292121
kurtosis(x),9198727
sum(x),90603
skew4(x),9385263
dumbk(x),19841046
sum(x),86342
skew4(x),9784896
skewness(x),9218332
sd3(x),1019812
kurtosis(x),8988647
sd(x),574763
mean(x),187824
kurt5(x),18297439
sum(x),105352
skewness(x),9144953
sd(x),532023
mean(x),180558
sd3(x),946649
skewness(x),9055550
kurtosis(x),8956816
mean(x),167638
sum(x),79936
kurtosis(x),8557312
mean(x),179792
sum(x),86594
sd(x),529429
kurt5(x),17481895
skew4(x),9773806
skew4(x),9589236
skew4(x),10616771
kurtosis(x),9328691
sum(x),116744
sd3(x),955807
sd3(x),905780
sum(x),87507
skewness(x),11123336
mean(x),191622
sum(x),90339
sd3(x),942989
dumbk(x),19429151
sum(x),88182
sd(x),509662
sd(x),502101
kurtosis(x),9033113
dumbk(x),19039195
sum(x),86424
sum(x),84824
skewness(x),8625785
sum(x),80375
sd(x),542326
sum(x),84378
sd(x),491385
sum(x),79814
kurt5(x),16891755
skew4(x),9729804
skew4(x),9610046
kurt5(x),17329683
mean(x),207450
sum(x),88732
sd(x),527894
sd(x),498890
dumbk(x),18733846
kurt5(x),17070022
kurt5(x),16778598
skew4(x),9558750
sd(x),543352
dumbk(x),20969934
sum(x),87540
sd(x),618663
sum(x),97382
dumbk(x),18935117
kurtosis(x),9049174
kurt5(x),17356807
sd(x),581663
sd3(x),1048114
mean(x),255403
dumbk(x),23365664
sd(x),611093
skewness(x),10584814
sum(x),88056
sum(x),87667
skew4(x),9763341
kurtosis(x),9164771
kurt5(x),17169153
dumbk(x),18889073
sum(x),87786
dumbk(x),22937855
dumbk(x),20057511
kurt5(x),17092684
sum(x),96215
sd3(x),935686
kurt5(x),17174347
mean(x),202134
skew4(x),9647678
sd(x),533064
sd3(x),932803
kurt5(x),17272005
sum(x),112882
kurt5(x),16968833
dumbk(x),19337292
kurtosis(x),8892514
skew4(x),9884192
skewness(x),9091830
skewness(x),9093216
sd3(x),946681
skewness(x),9345476
dumbk(x),20310187
mean(x),177121
skew4(x),9709091
sd3(x),942089
sd(x),533347
sd3(x),930675
sum(x),87756
sd3(x),925443
skew4(x),9477225
skew4(x),9695975
mean(x),199274
sd3(x),933484
sd(x),527189
dumbk(x),19179554
skewness(x),8994689
kurt5(x),17222300
sd3(x),967930
dumbk(x),18648326
sum(x),86175
skewness(x),8913673
kurt5(x),17278098
dumbk(x),19350307
sum(x),88438
dumbk(x),25003243
dumbk(x),19056614
sd(x),500379
mean(x),177044
mean(x),175568
sd3(x),947236
kurtosis(x),9362823
kurt5(x),17715865
sd3(x),945687
mean(x),194911
dumbk(x),19065953
sum(x),89672
kurtosis(x),9011811
skewness(x),9278789
skewness(x),9281358
skewness(x),10770428
sd3(x),948832
dumbk(x),19142394
kurt5(x),16980276
kurtosis(x),8667256
sd(x),529261
skewness(x),9051665
skewness(x),9610600
kurt5(x),17015585
mean(x),204089
sd(x),531035
dumbk(x),18965503
kurt5(x),16750450
sum(x),98294
mean(x),191694
kurtosis(x),8962530
dumbk(x),20501468
kurtosis(x),8947922
skewness(x),9104099
skew4(x),9829761
skewness(x),9433219
skewness(x),9499860
dumbk(x),18935702
skew4(x),9527458
skewness(x),9160559
sd3(x),948274
mean(x),187340
sd(x),527171
dumbk(x),19338379
skew4(x),9775227
kurt5(x),17307172
sum(x),102966
kurt5(x),16638835
kurtosis(x),10464618
dumbk(x),18581404
mean(x),182538
sd3(x),957021
kurt5(x),17318451
kurt5(x),17177526
sd3(x),941910
sd3(x),930368
skewness(x),9223219
skewness(x),9463370
mean(x),183156
skew4(x),9599631
sd3(x),1019253
sd3(x),958414
skewness(x),13838862
sum(x),140648
kurtosis(x),14484975
kurt5(x),21824330
kurtosis(x),9134637
sd3(x),1072512
dumbk(x),18999219
sd(x),502041
sd3(x),945868
skewness(x),10862657
mean(x),184740
dumbk(x),19227177
kurt5(x),16998744
sd3(x),962981
dumbk(x),18559857
sum(x),84987
sd(x),490266
sd3(x),972965
sd3(x),901782
sd3(x),900486
sd3(x),954058
kurtosis(x),9044257
mean(x),182480
sd3(x),943673
sd(x),526260
sd(x),517136
skewness(x),9126652
dumbk(x),19371070
sd3(x),874046
kurtosis(x),8870955
sd3(x),940967
kurt5(x),17180066
kurt5(x),17022803
dumbk(x),20772462
sum(x),87293
skew4(x),9745263
kurtosis(x),9150042
sd(x),529300
kurt5(x),16747515
kurtosis(x),8816324
kurt5(x),17330066
sd(x),604782
skewness(x),9117962
skew4(x),9819847
skew4(x),9873635
skew4(x),9733145
sum(x),99166
sd(x),548127
sd3(x),964707
dumbk(x),18955588
sum(x),87482
kurt5(x),17147667
dumbk(x),19221481
kurtosis(x),8925430
mean(x),207865
sum(x),80047
sum(x),88060
skewness(x),10141403
sum(x),93254
dumbk(x),18805707
sum(x),87840
sum(x),87444
kurtosis(x),9681303
sd3(x),1055069
sd3(x),906870
sum(x),89416
mean(x),188192
kurtosis(x),9035503
sd(x),539013
kurtosis(x),10500327
sd(x),528052
kurtosis(x),9076587
sd3(x),1009842
kurt5(x),17173121
sum(x),98524
skew4(x),9640346
mean(x),201263
kurt5(x),17315818
skew4(x),9446744
kurt5(x),17336872
skew4(x),9878181
kurtosis(x),9478124
mean(x),192276
skew4(x),10049347
sum(x),98828
kurtosis(x),9456299
mean(x),184215
kurt5(x),17465420
dumbk(x),20532678
kurt5(x),16801237
sd(x),777700
skewness(x),9535675
kurt5(x),17483520
skew4(x),9603276
sd(x),549022
kurtosis(x),8973613
kurtosis(x),8885456
kurtosis(x),8901363
sd(x),532122
sd(x),501259
sd3(x),956138
skewness(x),9460647
dumbk(x),19409021
sd3(x),1067267
kurtosis(x),10055767
sd3(x),1031868
sum(x),94989
sd3(x),1117213
skewness(x),9953117
dumbk(x),22481088
kurt5(x),17368978
kurt5(x),18193688
skewness(x),9848545
skewness(x),10338138
sd3(x),1171878
mean(x),245355
dumbk(x),21354437
sd(x),540076
skewness(x),9683989
mean(x),194622
mean(x),227907
sd(x),547445
dumbk(x),19760178
sum(x),90696
skew4(x),10182833
mean(x),199338
skewness(x),9584256
sum(x),94055
skew4(x),10180093
skew4(x),10402460
kurtosis(x),11486129
kurtosis(x),9112484
dumbk(x),19235965
sd3(x),965726
kurt5(x),17875075
sum(x),103818
mean(x),242136
sd3(x),938643
kurt5(x),18258204
kurt5(x),19600840
kurtosis(x),10029445
sd3(x),1004459
dumbk(x),19050098
mean(x),178744
sd3(x),946043
skewness(x),9344518
dumbk(x),18406132
kurtosis(x),11345137
kurt5(x),17263434
mean(x),207925
skew4(x),9686919
skewness(x),9527386
kurtosis(x),9181374
kurtosis(x),8788605
skew4(x),9542346
skewness(x),9937091
skew4(x),9822313
kurt5(x),17567018
sum(x),100685
skew4(x),9929855
kurtosis(x),9185626
dumbk(x),20190690
kurt5(x),17976870
sd(x),557269
dumbk(x),19074276
sd3(x),1008137
kurtosis(x),11075456
sum(x),111377
kurt5(x),17120244
kurt5(x),17152713
kurtosis(x),8987167
sum(x),90337
sd(x),545408
sd3(x),976325
kurt5(x),17094584
dumbk(x),18979834
sum(x),88055
sum(x),87268
skew4(x),9742271
mean(x),190213
kurt5(x),17875101
dumbk(x),19057149
skew4(x),9674591
kurtosis(x),9046972
sd3(x),944038
sum(x),88868
dumbk(x),20274570
skew4(x),10500787
sd(x),544440
kurt5(x),17658936
dumbk(x),21140675
dumbk(x),19317074
sum(x),87540
mean(x),176981
sd(x),504339
skewness(x),9469635
skew4(x),9712608
mean(x),198125
kurt5(x),17414968
kurtosis(x),8931364
mean(x),179995
sd(x),534062
kurtosis(x),8717553
skewness(x),8841959
skewness(x),9116771
kurtosis(x),8838759
kurt5(x),16944120
skewness(x),9505745
sd3(x),948974
kurt5(x),17500789
kurtosis(x),10926155
mean(x),191315
sd(x),553400
skew4(x),9483675
sd(x),511822
kurt5(x),17016769
skewness(x),9138230
sd3(x),1063556
skew4(x),9739997
sd(x),555779
kurt5(x),18016830
sd3(x),1068652
kurtosis(x),9160096
sum(x),90669
skew4(x),9743961
mean(x),201887
dumbk(x),18958008
dumbk(x),19017068
skewness(x),8751818
mean(x),185554
kurtosis(x),9254844
sd(x),519600
sd3(x),920382
sd3(x),953840
kurtosis(x),9112031
skewness(x),11150367
skew4(x),9692936
kurtosis(x),8987327
kurtosis(x),8955257
skewness(x),9089970
sd(x),537915
sum(x),87341
dumbk(x),19412724
skewness(x),9785051
mean(x),190025
sd3(x),979363
sum(x),90070
dumbk(x),18520159
skewness(x),9139579
dumbk(x),20833502
kurt5(x),17460571
sd3(x),977299
sd(x),569458
skew4(x),9861748
mean(x),206550
kurtosis(x),9020271
dumbk(x),18958608
sd(x),628425
sd(x),602722
sd(x),648957
dumbk(x),21280212
kurtosis(x),10285314
kurtosis(x),10171869
skewness(x),10268207
dumbk(x),23261077
mean(x),202170
sd3(x),1075256
skew4(x),11072916
mean(x),233405
mean(x),203910
skew4(x),10884395
sd3(x),1180446
mean(x),223277
sum(x),101170
kurtosis(x),9513388
sum(x),91734
skew4(x),10135094
sd(x),545459
kurt5(x),17249836
skew4(x),9689292
skewness(x),9245627
kurtosis(x),9269499
sd3(x),944450
mean(x),190737
kurtosis(x),9034544
sum(x),90718
kurtosis(x),9226912
skew4(x),10382367
skewness(x),9410656
skew4(x),10012584
sum(x),95964
sd(x),560220
sd3(x),964946
kurtosis(x),9710992
skew4(x),10024234
dumbk(x),21161011
kurt5(x),16909024
sum(x),97352
sd(x),524951
dumbk(x),19348471
mean(x),180378
sd(x),605515
kurt5(x),16926058
mean(x),201494
dumbk(x),18378382
skewness(x),9146930
sd(x),530132
dumbk(x),18385526
sd(x),513341
skewness(x),9640694
kurt5(x),17049575
sd3(x),949930
skew4(x),9803933
mean(x),208419
mean(x),183656
sd3(x),943847
dumbk(x),20740067
kurt5(x),16769881
sd(x),526729
kurt5(x),19315395
skew4(x),10119937
skewness(x),9536727
mean(x),244622
sum(x),93573
mean(x),188215
kurtosis(x),9376969
mean(x),203072
sd3(x),1005927
skew4(x),10144281
skew4(x),9997549
mean(x),211471
sd3(x),1006926
dumbk(x),20288511
kurtosis(x),9873516
skew4(x),11362799
sd(x),692081
sd3(x),1134916
sum(x),109442
sd(x),700282
dumbk(x),21539284
mean(x),195736
sd3(x),1080634
kurtosis(x),9720500
sd3(x),1079537
dumbk(x),22351143
sd(x),538910
sum(x),92672
dumbk(x),19807458
sd3(x),975036
skew4(x),10670668
skewness(x),9556438
skewness(x),9114149
dumbk(x),19202936
mean(x),178641
kurt5(x),17161949
skew4(x),9964799
skew4(x),9856795
skew4(x),10310048
mean(x),208381
skewness(x),9439684
kurtosis(x),10248664
sd(x),604477
mean(x),210060
dumbk(x),23318371
sd(x),558076
skewness(x),10027583
kurtosis(x),10183663
kurt5(x),19408540
sd3(x),1062809
sum(x),105970
dumbk(x),21152362
kurt5(x),18914170
mean(x),224640
skewness(x),10117903
sd3(x),1036418
dumbk(x),21355690
sum(x),99438
kurt5(x),19323463
sd3(x),1068352
mean(x),221126
mean(x),204514
skewness(x),10232344
sum(x),100066
dumbk(x),23335418
sd3(x),1068068
mean(x),211353
kurt5(x),19524169
kurtosis(x),10355791
kurt5(x),19418861
skew4(x),11184071
skew4(x),11818590
kurt5(x),20438863
sd(x),636997
sd(x),596342
dumbk(x),21923290
mean(x),207295
kurt5(x),19134825
mean(x),215127
sd(x),616530
kurtosis(x),9967775
kurt5(x),18828867
dumbk(x),20745273
dumbk(x),19293703
sum(x),87581
kurtosis(x),8904487
skew4(x),9631564
dumbk(x),20955712
sum(x),86109
skew4(x),10144543
dumbk(x),18756387
skewness(x),9372896
mean(x),210758
dumbk(x),21394300
skew4(x),10261059
kurtosis(x),9386549
skewness(x),10022403
kurtosis(x),9576405
mean(x),200572
sd3(x),1009875
skewness(x),11636513
kurt5(x),17615672
skewness(x),9247467
sd3(x),950905
skew4(x),9681279
skew4(x),9989473
mean(x),218676
kurt5(x),17383221
sd3(x),936032
skewness(x),9303869
sd(x),582963
sd(x),512134
skewness(x),9174343
kurtosis(x),9080688
mean(x),190247
sd(x),570909
skew4(x),9685355
skewness(x),9167002
dumbk(x),19142360
skew4(x),9677977
kurtosis(x),9364012
kurtosis(x),11040439
skewness(x),12366142
sd3(x),1223768
sum(x),133254
skew4(x),9882561
skew4(x),9983955
skew4(x),9653972
sd3(x),956316
sd3(x),936534
skewness(x),9120084
sd3(x),942617
dumbk(x),19719887
sum(x),99306
kurtosis(x),10046530
sd(x),573975
skewness(x),9950970
sd(x),581659
skew4(x),10815900
dumbk(x),20582619
sd(x),559359
mean(x),198182
sd(x),550774
dumbk(x),20416182
sd3(x),1004750
mean(x),190847
dumbk(x),21999224
skewness(x),9420743
kurtosis(x),9218050
sd3(x),1070778
sum(x),105310
sd3(x),994757
sd(x),553738
kurt5(x),16774109
skew4(x),9556781
mean(x),203388
sum(x),91895
mean(x),182517
mean(x),180168
sum(x),89249
skewness(x),9215583
sd3(x),947138
kurt5(x),17082965
sd(x),738509
sum(x),88362
sd3(x),920264
sd3(x),903450
sd(x),501952
sd(x),490144
dumbk(x),19326162
skewness(x),9240537
skew4(x),9798727
sd(x),528293
kurtosis(x),9069892
sum(x),92913
sd(x),539739
kurtosis(x),9244074
sd3(x),946474
kurt5(x),16664425
skewness(x),10516641
mean(x),167674
sum(x),79912
dumbk(x),17540966
sd(x),488892
dumbk(x),17604327
skewness(x),8565398
sd3(x),894946
skewness(x),8521527
kurtosis(x),8191018
mean(x),176071
sd3(x),862250
sum(x),79850
dumbk(x),17402878
mean(x),171627
sd(x),537685
kurtosis(x),9687261
kurt5(x),16356311
skewness(x),8999050
dumbk(x),18522531
kurtosis(x),8907346
kurtosis(x),8962785
skewness(x),9597244
kurtosis(x),8950349
kurtosis(x),8905041
sd(x),532326
kurtosis(x),8870355
kurt5(x),17568381
mean(x),208272
sum(x),89034
skew4(x),9886622
kurt5(x),17173258
kurt5(x),17187330
sd(x),538081
kurt5(x),16982230
sd3(x),933518
sd(x),515036
kurtosis(x),10517745
skew4(x),10061937
sd(x),526264
sd3(x),929700
sum(x),87294
dumbk(x),19052424
skew4(x),9678394
dumbk(x),19162022
kurtosis(x),8993557
kurtosis(x),8842124
sum(x),88948
kurtosis(x),8982193
dumbk(x),18377438
sum(x),92727
kurt5(x),17337415
kurt5(x),16972290
kurt5(x),17220996
dumbk(x),21208115
kurt5(x),16812173
kurtosis(x),9388314
kurtosis(x),8992777
dumbk(x),18442823
dumbk(x),18541699
skew4(x),9452026
sd(x),516317
skew4(x),10023779
sd(x),611267
sd3(x),937267
skewness(x),9092452
mean(x),180068
sd3(x),942795
sum(x),86785
sd(x),518766
sum(x),86528
skew4(x),9569731
kurtosis(x),8939794
skewness(x),10807883
kurt5(x),16910378
sd(x),558461
mean(x),194114
sd(x),516799
sd3(x),938401
mean(x),185217
mean(x),177099
skewness(x),8991936
mean(x),182295
kurt5(x),16894484
dumbk(x),22219795
mean(x),221339
kurtosis(x),10607125
skewness(x),9889357
sum(x),91439
dumbk(x),19581680
skew4(x),9914082
mean(x),197694
skewness(x),9317102
sum(x),88210
kurt5(x),17629155
sum(x),109565
skewness(x),9280248
sd3(x),948336
mean(x),190319
sd(x),534578
skew4(x),10471508
skewness(x),11445244
kurt5(x),17122053
sd3(x),998518
skew4(x),9598766
skewness(x),9320253
skewness(x),9272672
skew4(x),9731430
sd(x),555603
skewness(x),9158746
dumbk(x),18568861
skew4(x),8850352
skew4(x),9476513
sum(x),92102
kurtosis(x),9441228
mean(x),180623
skewness(x),9091118
sum(x),90285
skew4(x),9560136
dumbk(x),18674794
mean(x),180131
kurtosis(x),12021986
skew4(x),10695389
kurtosis(x),10092400
mean(x),197279
kurt5(x),18667908
sum(x),97531
sd3(x),962739
sum(x),89186
sd3(x),1019351
dumbk(x),20722658
dumbk(x),21150295
skewness(x),10296525
kurtosis(x),9559178
mean(x),180800
sd(x),527605
sd(x),500728
mean(x),176709
skewness(x),9465328
sum(x),84846
kurt5(x),16748853
kurt5(x),16821228
sd3(x),908589
sd(x),524225
skewness(x),8600540
kurt5(x),16019945
skew4(x),9275815
sum(x),85086
dumbk(x),18889332
kurt5(x),16836443
skew4(x),9701243
sd(x),635912
skew4(x),9900245
sd(x),519112
kurtosis(x),8819401
mean(x),189036
skewness(x),9063633
dumbk(x),20292957
skewness(x),10321990
skew4(x),10890860
kurtosis(x),9533250
skewness(x),9484563
skew4(x),9674844
kurt5(x),16608447
sum(x),93254
sum(x),104358
sd3(x),1057137
sd(x),622217
kurtosis(x),10119206
mean(x),234349
dumbk(x),22858516
sd3(x),1071321
sum(x),98769
skewness(x),10222185
skewness(x),10358595
skew4(x),10910574
skew4(x),10841358
sum(x),104591
kurtosis(x),10069139
sum(x),99743
mean(x),207460
kurt5(x),18640384
mean(x),214748
kurt5(x),16494923
mean(x),178177
skew4(x),9201842
skew4(x),9589839
mean(x),195733
sd(x),522820
skewness(x),9659268
sd(x),521591
kurt5(x),17514976
skewness(x),9099433
kurt5(x),16984677
mean(x),198063
kurtosis(x),8977573
kurt5(x),17601476
