expr,time
mean(x),256637
skew4(x),9202465
sd(x),560244
sum(x),82116
mean(x),165131
sum(x),79811
skew4(x),9044523
mean(x),163977
sum(x),79817
skew4(x),9403272
kurt5(x),15910015
kurtosis(x),8417012
sum(x),79785
skew4(x),9167831
dumbk(x),17770516
sum(x),79859
skew4(x),9164110
skewness(x),8364764
sd3(x),1151598
kurtosis(x),8174824
sd(x),477813
mean(x),164595
kurt5(x),16146741
sum(x),81966
skewness(x),8525741
sd(x),505177
mean(x),165150
sd3(x),1125588
skewness(x),8414804
kurtosis(x),8241111
mean(x),164186
sum(x),79755
kurtosis(x),8284148
mean(x),164223
sum(x),79593
sd(x),480472
kurt5(x),15915759
skew4(x),9066125
skew4(x),9157718
skew4(x),9079072
kurtosis(x),8211846
sum(x),79874
sd3(x),1120067
sd3(x),1117425
sum(x),79748
skewness(x),10473293
mean(x),174700
sum(x),80182
sd3(x),1171097
dumbk(x),17277455
sum(x),80020
sd(x),459746
sd(x),496076
kurtosis(x),8279805
dumbk(x),17595688
sum(x),93764
sum(x),131015
skewness(x),8518171
sum(x),79726
sd(x),472983
sum(x),79655
sd(x),458964
sum(x),79698
kurt5(x),15844882
skew4(x),12619681
skew4(x),15461421
kurt5(x),26625556
mean(x),206449
sum(x),88596
sd(x),529450
sd(x),498230
dumbk(x),18790605
kurt5(x),17099722
kurt5(x),16117455
skew4(x),9392552
sd(x),493821
dumbk(x),19206344
sum(x),80481
sd(x),462022
sum(x),79698
dumbk(x),17420090
kurtosis(x),8279741
kurt5(x),16676899
sd(x),488340
sd3(x),1149303
mean(x),171110
dumbk(x),17618082
sd(x),460737
skewness(x),8659911
sum(x),103771
sum(x),79737
skew4(x),9133505
kurtosis(x),8198639
kurt5(x),15849034
dumbk(x),17145644
sum(x),79961
dumbk(x),19129434
dumbk(x),17267448
kurt5(x),15877484
sum(x),80232
sd3(x),1116417
kurt5(x),15867518
mean(x),164275
skew4(x),9155403
sd(x),466213
sd3(x),1138698
kurt5(x),15837556
sum(x),80383
kurt5(x),15874604
dumbk(x),17218494
kurtosis(x),8138678
skew4(x),9058156
skewness(x),9488758
skewness(x),8312247
sd3(x),1137636
skewness(x),8311845
dumbk(x),18943889
mean(x),163184
skew4(x),9146642
sd3(x),1117360
sd(x),463371
sd3(x),1114996
sum(x),79960
sd3(x),1152987
skew4(x),9107479
skew4(x),9021332
mean(x),166126
sd3(x),1115256
sd(x),466414
dumbk(x),17122782
skewness(x),8290555
kurt5(x),15782063
sd3(x),1117786
dumbk(x),17102185
sum(x),80124
skewness(x),8398513
kurt5(x),15995275
dumbk(x),17237317
sum(x),79975
dumbk(x),18976901
dumbk(x),17411174
sd(x),460058
mean(x),162152
mean(x),161589
sd3(x),1133048
kurtosis(x),8209191
kurt5(x),15940048
sd3(x),1118304
mean(x),165602
dumbk(x),18656177
sum(x),80141
kurtosis(x),8331794
skewness(x),8630884
skewness(x),8548426
skewness(x),10346124
sd3(x),1162263
dumbk(x),17263666
kurt5(x),15894322
kurtosis(x),8147817
sd(x),469057
skewness(x),8315723
skewness(x),8376522
kurt5(x),15996341
mean(x),168087
sd(x),479585
dumbk(x),17594165
kurt5(x),15838967
sum(x),80489
mean(x),164592
kurtosis(x),8573808
dumbk(x),19380525
kurtosis(x),8157521
skewness(x),8354138
skew4(x),9236660
skewness(x),8326584
skewness(x),8305912
dumbk(x),17123738
skew4(x),9060571
skewness(x),8315497
sd3(x),1122383
mean(x),164328
sd(x),473171
dumbk(x),17095472
skew4(x),9050423
kurt5(x),15758360
sum(x),80086
kurt5(x),16276196
kurtosis(x),9800436
dumbk(x),17634400
mean(x),177030
sd3(x),1229788
kurt5(x),17116859
kurt5(x),16276883
sd3(x),1166597
sd3(x),1144815
skewness(x),8618589
skewness(x),8605677
mean(x),164701
skew4(x),9263712
sd3(x),1116865
sd3(x),1114429
skewness(x),8379223
sum(x),79920
kurtosis(x),8211227
kurt5(x),15774634
kurtosis(x),8199642
sd3(x),1180544
dumbk(x),17826630
sd(x),499397
sd3(x),1216676
skewness(x),10001785
mean(x),166253
dumbk(x),17270713
kurt5(x),15859678
sd3(x),1118121
dumbk(x),17481366
sum(x),80458
sd(x),461333
sd3(x),1176525
sd3(x),1113211
sd3(x),1113336
sd3(x),1138329
kurtosis(x),8449410
mean(x),163992
sd3(x),1145210
sd(x),467697
sd(x),459396
skewness(x),8394406
dumbk(x),17243987
sd3(x),1127465
kurtosis(x),8132327
sd3(x),1117048
kurt5(x),15885935
kurt5(x),15860549
dumbk(x),18847828
sum(x),80056
skew4(x),9038805
kurtosis(x),8176285
sd(x),469595
kurt5(x),16441638
kurtosis(x),8212429
kurt5(x),15852831
sd(x),499074
skewness(x),8432412
skew4(x),9162807
skew4(x),9087338
skew4(x),9043951
sum(x),80140
sd(x),472321
sd3(x),1116766
dumbk(x),18228165
sum(x),114729
kurt5(x),17578810
dumbk(x),17983716
kurtosis(x),8272797
mean(x),205596
sum(x),79899
sum(x),79722
skewness(x),10128198
sum(x),80594
dumbk(x),17551452
sum(x),105009
sum(x),79761
kurtosis(x),8191667
sd3(x),1133620
sd3(x),1113933
sum(x),79753
mean(x),164623
kurtosis(x),8235543
sd(x),499192
kurtosis(x),8631805
sd(x),473620
kurtosis(x),8651337
sd3(x),1128741
kurt5(x),16169846
sum(x),81216
skew4(x),9456568
mean(x),171386
kurt5(x),16324665
skew4(x),9540674
kurt5(x),16667235
skew4(x),9213081
kurtosis(x),8360071
mean(x),166437
skew4(x),9252809
sum(x),80077
kurtosis(x),8590170
mean(x),165324
kurt5(x),16056444
dumbk(x),19531967
kurt5(x),16456481
sd(x),542967
skewness(x),9472989
kurt5(x),16296836
skew4(x),9065787
sd(x),488106
kurtosis(x),8539209
kurtosis(x),8353936
kurtosis(x),8555333
sd(x),487380
sd(x),460009
sd3(x),1134004
skewness(x),8460122
dumbk(x),17393645
sd3(x),1272561
kurtosis(x),8213921
sd3(x),1122397
sum(x),79873
sd3(x),1114324
skewness(x),8616457
dumbk(x),19336647
kurt5(x),16637564
kurt5(x),15952140
skewness(x),8494713
skewness(x),8406370
sd3(x),1126912
mean(x),166047
dumbk(x),17294550
sd(x),462931
skewness(x),8471589
mean(x),164216
mean(x),161845
sd(x),564752
dumbk(x),17548929
sum(x),80289
skew4(x),9204394
mean(x),163780
skewness(x),8605282
sum(x),79855
skew4(x),9095201
skew4(x),9063593
kurtosis(x),9798492
kurtosis(x),8201565
dumbk(x),17409612
sd3(x),1156959
kurt5(x),15872217
sum(x),114061
mean(x),174875
sd3(x),1114674
kurt5(x),17820332
kurt5(x),16578078
kurtosis(x),8445534
sd3(x),1174028
dumbk(x),18146677
mean(x),167545
sd3(x),1205810
skewness(x),8512931
dumbk(x),18439889
kurtosis(x),9998370
kurt5(x),16058804
mean(x),167983
skew4(x),9232776
skewness(x),8485919
kurtosis(x),8335670
kurtosis(x),8225032
skew4(x),9105187
skewness(x),8568530
skew4(x),9209775
kurt5(x),16149568
sum(x),101843
skew4(x),9084076
kurtosis(x),8923829
dumbk(x),17347318
kurt5(x),15822779
sd(x),463894
dumbk(x),17098363
sd3(x),1127020
kurtosis(x),9794098
sum(x),80392
kurt5(x),15974309
kurt5(x),15837331
kurtosis(x),8185464
sum(x),80107
sd(x),506885
sd3(x),1145731
kurt5(x),16344379
dumbk(x),17367703
sum(x),80091
sum(x),79676
skew4(x),9092364
mean(x),188041
kurt5(x),15786158
dumbk(x),17132656
skew4(x),9042190
kurtosis(x),8163462
sd3(x),1119374
sum(x),79886
dumbk(x),19227179
skew4(x),9088824
sd(x),493542
kurt5(x),15751292
dumbk(x),18761611
dumbk(x),17144039
sum(x),95033
mean(x),172767
sd(x),462131
skewness(x),8349908
skew4(x),9112236
mean(x),164667
kurt5(x),15843611
kurtosis(x),8148062
mean(x),163232
sd(x),474325
kurtosis(x),8284980
skewness(x),8367495
skewness(x),8438340
kurtosis(x),8139555
kurt5(x),16295172
skewness(x),8502909
sd3(x),1125406
kurt5(x),15809558
kurtosis(x),9948799
mean(x),169543
sd(x),485060
skew4(x),9313506
sd(x),464563
kurt5(x),15994609
skewness(x),8352463
sd3(x),1121180
skew4(x),9045386
sd(x),490693
kurt5(x),16662764
sd3(x),1120570
kurtosis(x),8438861
sum(x),80237
skew4(x),9081908
mean(x),167061
dumbk(x),17396237
dumbk(x),17334026
skewness(x),8655232
mean(x),165151
kurtosis(x),8252543
sd(x),478342
sd3(x),1130450
sd3(x),1113089
kurtosis(x),8261345
skewness(x),10108295
skew4(x),9162407
kurtosis(x),8177930
kurtosis(x),8142896
skewness(x),8864697
sd(x),570963
sum(x),86824
dumbk(x),17688099
skewness(x),8575371
mean(x),164811
sd3(x),1158451
sum(x),79984
dumbk(x),17429871
skewness(x),8441382
dumbk(x),19285823
kurt5(x),16027659
sd3(x),1177089
sd(x),466582
skew4(x),9261960
mean(x),165444
kurtosis(x),8244296
dumbk(x),17397409
sd(x),461864
sd(x),459252
sd(x),459116
dumbk(x),17215128
kurtosis(x),8210588
kurtosis(x),8848880
skewness(x),8625362
dumbk(x),19460012
mean(x),162651
sd3(x),1131675
skew4(x),9044516
mean(x),163354
mean(x),161663
skew4(x),10855748
sd3(x),1378439
mean(x),230213
sum(x),98794
kurtosis(x),9822435
