expr,time
mean(x),257371
skew4(x),8574061
sd(x),560739
sum(x),82237
mean(x),164530
sum(x),79919
skew4(x),8407867
mean(x),163884
sum(x),80071
skew4(x),8408409
kurt5(x),15774564
kurtosis(x),8594598
sum(x),80811
skew4(x),8635715
dumbk(x),17475061
sum(x),80376
skew4(x),8379176
skewness(x),8436488
sd3(x),963929
kurtosis(x),9561242
sd(x),719630
mean(x),186144
kurt5(x),16614258
sum(x),83007
skewness(x),8463939
sd(x),524698
mean(x),178878
sd3(x),867871
skewness(x),8355094
kurtosis(x),8230090
mean(x),164368
sum(x),79838
kurtosis(x),8222958
mean(x),163653
sum(x),79775
sd(x),507154
kurt5(x),15193737
skew4(x),8355888
skew4(x),8820001
skew4(x),8419147
kurtosis(x),8461516
sum(x),96453
sd3(x),884651
sd3(x),855791
sum(x),79895
skewness(x),10100682
mean(x),188126
sum(x),79942
sd3(x),868801
dumbk(x),17234734
sum(x),80319
sd(x),485954
sd(x),459656
kurtosis(x),8185130
dumbk(x),17377210
sum(x),80217
sum(x),79840
skewness(x),8407900
sum(x),79912
sd(x),467934
sum(x),79856
sd(x),483264
sum(x),79972
kurt5(x),15200783
skew4(x),8416862
skew4(x),8650288
kurt5(x),15846071
mean(x),180770
sum(x),80474
sd(x),478389
sd(x),459511
dumbk(x),20343591
kurt5(x),18416226
kurt5(x),15317908
skew4(x),8498292
sd(x),491465
dumbk(x),18665285
sum(x),80253
sd(x),459888
sum(x),79792
dumbk(x),17115360
kurtosis(x),8242343
kurt5(x),14998251
sd(x),467413
sd3(x),852266
mean(x),164957
dumbk(x),17062673
sd(x),458994
skewness(x),8451533
sum(x),80427
sum(x),79751
skew4(x),8650622
kurtosis(x),8626521
kurt5(x),15124852
dumbk(x),17250629
sum(x),80265
dumbk(x),18734895
dumbk(x),17289236
kurt5(x),15093612
sum(x),80304
sd3(x),880456
kurt5(x),15794671
mean(x),277891
skew4(x),9127469
sd(x),540955
sd3(x),978449
kurt5(x),15398004
sum(x),82407
kurt5(x),15267821
dumbk(x),17407611
kurtosis(x),8756669
skew4(x),8495944
skewness(x),8382060
skewness(x),8428046
sd3(x),869642
skewness(x),8514580
dumbk(x),18955079
mean(x),162763
skew4(x),8425060
sd3(x),860650
sd(x),463302
sd3(x),856733
sum(x),80045
sd3(x),855491
skew4(x),8315785
skew4(x),8306778
mean(x),164063
sd3(x),858042
sd(x),461475
dumbk(x),17244945
skewness(x),8468335
kurt5(x),15635865
sd3(x),867044
dumbk(x),17275910
sum(x),80172
skewness(x),8476195
kurt5(x),15272503
dumbk(x),17335902
sum(x),80518
dumbk(x),18702835
dumbk(x),17130019
sd(x),459959
mean(x),162338
mean(x),161715
sd3(x),873972
kurtosis(x),8365758
kurt5(x),15100545
sd3(x),858720
mean(x),166051
dumbk(x),17243651
sum(x),79897
kurtosis(x),8233495
skewness(x),8310838
skewness(x),8302401
skewness(x),9949371
sd3(x),875780
dumbk(x),17165225
kurt5(x),15921729
kurtosis(x),8165847
sd(x),478817
skewness(x),8361863
skewness(x),8427247
kurt5(x),15104388
mean(x),167880
sd(x),479491
dumbk(x),17271688
kurt5(x),15194309
sum(x),80619
mean(x),165156
kurtosis(x),8255473
dumbk(x),19421052
kurtosis(x),8263993
skewness(x),13123572
skew4(x),8757796
skewness(x),8808901
skewness(x),8613236
dumbk(x),17389113
skew4(x),8400100
skewness(x),8365859
sd3(x),862127
mean(x),164128
sd(x),471935
dumbk(x),17426681
skew4(x),8713505
kurt5(x),15131124
sum(x),81216
kurt5(x),15213411
kurtosis(x),9955046
dumbk(x),17502540
mean(x),196411
sd3(x),874608
kurt5(x),16069448
kurt5(x),15532958
sd3(x),858564
sd3(x),897764
skewness(x),8786903
skewness(x),8737137
mean(x),165339
skew4(x),8534717
sd3(x),858546
sd3(x),892573
skewness(x),8971183
sum(x),143200
kurtosis(x),10152138
kurt5(x),16391158
kurtosis(x),8650413
sd3(x),910455
dumbk(x),17912467
sd(x),523496
sd3(x),894468
skewness(x),10305909
mean(x),171039
dumbk(x),17371039
kurt5(x),15763032
sd3(x),863105
dumbk(x),17419772
sum(x),80044
sd(x),460568
sd3(x),976984
sd3(x),856490
sd3(x),855989
sd3(x),855873
kurtosis(x),8332603
mean(x),165298
sd3(x),885498
sd(x),466313
sd(x),459022
skewness(x),8414462
dumbk(x),19154350
sd3(x),897486
kurtosis(x),8417554
sd3(x),860014
kurt5(x),15240243
kurt5(x),15255872
dumbk(x),19093121
sum(x),80232
skew4(x),8481903
kurtosis(x),8388217
sd(x),495214
kurt5(x),15243083
kurtosis(x),8765320
kurt5(x),16060775
sd(x),495677
skewness(x),8685360
skew4(x),8638819
skew4(x),8408363
skew4(x),8361772
sum(x),81121
sd(x),482170
sd3(x),903727
dumbk(x),17757081
sum(x),80721
kurt5(x),15590161
dumbk(x),17552425
kurtosis(x),8275515
mean(x),163950
sum(x),79919
sum(x),79713
skewness(x),10114426
sum(x),80528
dumbk(x),17138200
sum(x),80456
sum(x),79793
kurtosis(x),8144645
sd3(x),874891
sd3(x),920899
sum(x),95945
mean(x),164680
kurtosis(x),8203501
sd(x),478070
kurtosis(x),8215869
sd(x),467953
kurtosis(x),8231772
sd3(x),869831
kurt5(x),16375671
sum(x),101625
skew4(x),8787446
mean(x),188023
kurt5(x),15204517
skew4(x),8485992
kurt5(x),15281791
skew4(x),8531365
kurtosis(x),8388892
mean(x),164725
skew4(x),8856988
sum(x),80821
kurtosis(x),8945718
mean(x),230629
kurt5(x),16211302
dumbk(x),19267054
kurt5(x),15185038
sd(x),468183
skewness(x),8286668
kurt5(x),15055507
skew4(x),8322806
sd(x),467914
kurtosis(x),8153320
kurtosis(x),8162437
kurtosis(x),8199499
sd(x),479497
sd(x),460464
sd3(x),868020
skewness(x),8994007
dumbk(x),18732817
sd3(x),984182
kurtosis(x),8950249
sd3(x),908827
sum(x),84389
sd3(x),903572
skewness(x),8939760
dumbk(x),19761290
kurt5(x),16178981
kurt5(x),16181125
skewness(x),9049168
skewness(x),8872741
sd3(x),916708
mean(x),173894
dumbk(x),21480414
sd(x),462621
skewness(x),8408755
mean(x),163895
mean(x),162065
sd(x),464897
dumbk(x),17221453
sum(x),80303
skew4(x),8448313
mean(x),163836
skewness(x),8412894
sum(x),80076
skew4(x),8431436
skew4(x),9229041
kurtosis(x),10079591
kurtosis(x),8214904
dumbk(x),17201112
sd3(x),873540
kurt5(x),14993241
sum(x),95620
mean(x),180803
sd3(x),856984
kurt5(x),14984069
kurt5(x),15013533
kurtosis(x),8177479
sd3(x),861121
dumbk(x),17229955
mean(x),162599
sd3(x),868849
skewness(x),8379105
dumbk(x),17529101
kurtosis(x),9740489
kurt5(x),17766069
mean(x),213287
skew4(x),10218592
skewness(x),9287294
kurtosis(x),8841520
kurtosis(x),8843691
skew4(x),9107786
skewness(x),9015402
skew4(x),9064789
kurt5(x),16245803
sum(x),87064
skew4(x),9102187
kurtosis(x),8855964
dumbk(x),18514335
kurt5(x),16238106
sd(x),463186
dumbk(x),17793899
sd3(x),872748
kurtosis(x),9859343
sum(x),80492
kurt5(x),15089836
kurt5(x),15004811
kurtosis(x),8200133
sum(x),82370
sd(x),571295
sd3(x),866435
kurt5(x),14984901
dumbk(x),17220707
sum(x),80133
sum(x),79712
skew4(x),8401892
mean(x),163303
kurt5(x),15758121
dumbk(x),17409854
skew4(x),8351440
kurtosis(x),8149317
sd3(x),862165
sum(x),80300
dumbk(x),17311227
skew4(x),8427220
sd(x),461908
kurt5(x),15406424
dumbk(x),18974490
dumbk(x),17102534
