expr,time
mean(x),626188
skew4(x),9996958
sd(x),655434
sum(x),88314
mean(x),183035
sum(x),84221
skew4(x),8944621
mean(x),173001
sum(x),84236
skew4(x),10195045
kurt5(x),17141328
kurtosis(x),9313342
sum(x),154117
skew4(x),10792968
dumbk(x),19330446
sum(x),86974
skew4(x),10545756
skewness(x),10151907
sd3(x),1382475
kurtosis(x),9959348
sd(x),527205
mean(x),179109
kurt5(x),16942121
sum(x),90660
skewness(x),10506242
sd(x),527018
mean(x),178840
sd3(x),1337184
skewness(x),10434974
kurtosis(x),9985885
mean(x),201200
sum(x),97828
kurtosis(x),10153649
mean(x),179430
sum(x),86675
sd(x),528582
kurt5(x),17577694
skew4(x),9426189
skew4(x),10257591
skew4(x),9021450
kurtosis(x),8722362
sum(x),79961
sd3(x),861524
sd3(x),851255
sum(x),79713
skewness(x),12197025
mean(x),223105
sum(x),80886
sd3(x),878978
dumbk(x),20352213
sum(x),80418
sd(x),530834
sd(x),666857
kurtosis(x),8783489
dumbk(x),20803771
sum(x),87296
sum(x),86566
skewness(x),9251351
sum(x),80208
sd(x),482401
sum(x),80028
sd(x),459528
sum(x),80006
kurt5(x),17353779
skew4(x),10479897
skew4(x),9138008
kurt5(x),17326477
mean(x),265128
sum(x),81251
sd(x),500148
sd(x),483260
dumbk(x),18594948
kurt5(x),18165236
kurt5(x),18672040
skew4(x),9146984
sd(x),530063
dumbk(x),22207655
sum(x),98201
sd(x),564488
sum(x),126393
dumbk(x),21889591
kurtosis(x),9488861
kurt5(x),16329359
sd(x),508808
sd3(x),961290
mean(x),187955
dumbk(x),20934456
sd(x),499655
skewness(x),9005074
sum(x),79995
sum(x),79748
skew4(x),9978578
kurtosis(x),10265403
kurt5(x),18499891
dumbk(x),19802199
sum(x),98669
dumbk(x),20924119
dumbk(x),20574324
kurt5(x),16254636
sum(x),83845
sd3(x),902491
kurt5(x),18152237
mean(x),198167
skew4(x),8754286
sd(x),490198
sd3(x),891912
kurt5(x),17269374
sum(x),157830
kurt5(x),18504860
dumbk(x),18290256
kurtosis(x),9580582
skew4(x),9700815
skewness(x),8765378
skewness(x),9768577
sd3(x),1246723
skewness(x),11069531
dumbk(x),21546439
mean(x),186341
skew4(x),10015814
sd3(x),884612
sd(x),497371
sd3(x),998832
sum(x),82857
sd3(x),951035
skew4(x),8859787
skew4(x),9449286
mean(x),228914
sd3(x),1322679
sd(x),646642
dumbk(x),21467244
skewness(x),9718154
kurt5(x),15732551
sd3(x),1227522
dumbk(x),19965391
sum(x),82459
skewness(x),9681699
kurt5(x),17402029
dumbk(x),21531122
sum(x),109452
dumbk(x),21972601
dumbk(x),21243193
sd(x),500500
mean(x),199795
mean(x),175397
sd3(x),1013368
kurtosis(x),10896944
kurt5(x),16951e3
sd3(x),882973
mean(x),175732
dumbk(x),21102851
sum(x),87296
kurtosis(x),9100821
skewness(x),8688937
skewness(x),10252188
skewness(x),11103752
sd3(x),876297
dumbk(x),19114008
kurt5(x),16714742
kurtosis(x),8646436
sd(x),676630
skewness(x),9988615
skewness(x),10390865
kurt5(x),17233945
mean(x),186560
sd(x),517259
dumbk(x),19664472
kurt5(x),17715571
sum(x),122980
mean(x),236210
kurtosis(x),10252433
dumbk(x),21256084
kurtosis(x),9357468
skewness(x),9312869
skew4(x),8793429
skewness(x),8537414
skewness(x),9918794
dumbk(x),20023846
skew4(x),9682548
skewness(x),8772397
sd3(x),911464
mean(x),175027
sd(x),508220
dumbk(x),19565427
skew4(x),9395843
kurt5(x),17191625
sum(x),93090
kurt5(x),16645095
kurtosis(x),10882427
dumbk(x),19873444
mean(x),171955
sd3(x),915408
kurt5(x),17219584
kurt5(x),17827951
sd3(x),957045
sd3(x),1230473
skewness(x),9539606
skewness(x),8437483
mean(x),164386
skew4(x),9888966
sd3(x),917839
sd3(x),896477
skewness(x),9478432
sum(x),80243
kurtosis(x),8948277
kurt5(x),16953626
kurtosis(x),9134675
sd3(x),891349
dumbk(x),18933295
sd(x),571108
sd3(x),966777
skewness(x),11566148
mean(x),184092
dumbk(x),19284710
kurt5(x),18075912
sd3(x),1013638
dumbk(x),18993316
sum(x),80752
sd(x),483779
sd3(x),867007
sd3(x),852056
sd3(x),873831
sd3(x),855242
kurtosis(x),9686279
mean(x),203323
sd3(x),1020355
sd(x),527080
sd(x),506775
skewness(x),9837408
dumbk(x),19999181
sd3(x),1000487
kurtosis(x),9475658
sd3(x),1033973
kurt5(x),15721948
kurt5(x),18133032
dumbk(x),19615153
sum(x),94268
skew4(x),9682562
kurtosis(x),9593082
sd(x),614942
kurt5(x),18731260
kurtosis(x),11157560
kurt5(x),18716357
sd(x),588753
skewness(x),8881226
skew4(x),10245779
skew4(x),9746495
skew4(x),8861322
sum(x),88107
sd(x),521884
sd3(x),903831
dumbk(x),20346939
sum(x),130638
kurt5(x),16620319
dumbk(x),21407630
kurtosis(x),9794428
mean(x),229138
sum(x),84403
sum(x),84112
skewness(x),10862819
sum(x),84897
dumbk(x),20607817
sum(x),170969
sum(x),130792
kurtosis(x),11539916
sd3(x),1133508
sd3(x),1073136
sum(x),90068
mean(x),191655
kurtosis(x),10505644
sd(x),647350
kurtosis(x),10059086
sd(x),553652
kurtosis(x),9577368
sd3(x),993958
kurt5(x),17828913
sum(x),219277
skew4(x),9889009
mean(x),204945
kurt5(x),17938969
skew4(x),10187232
kurt5(x),19455975
skew4(x),9852702
kurtosis(x),10266595
mean(x),217123
skew4(x),9789347
sum(x),114331
kurtosis(x),9219423
mean(x),178953
kurt5(x),18297479
dumbk(x),20941265
kurt5(x),18764079
sd(x),668304
skewness(x),9821025
kurt5(x),19327898
skew4(x),10515852
sd(x),602939
kurtosis(x),9564532
kurtosis(x),9074010
kurtosis(x),9386729
sd(x),657053
sd(x),503516
sd3(x),1091685
skewness(x),9741157
dumbk(x),18875618
sd3(x),953233
kurtosis(x),9613613
sd3(x),1209321
sum(x),165280
sd3(x),1010075
skewness(x),9229574
dumbk(x),21207080
kurt5(x),17359473
kurt5(x),18190353
skewness(x),10561721
skewness(x),9458631
sd3(x),940507
mean(x),180496
dumbk(x),19366290
sd(x),549455
skewness(x),9722175
mean(x),191179
mean(x),176481
sd(x),519735
dumbk(x),18741690
sum(x),80193
skew4(x),10081804
mean(x),193962
skewness(x),9771314
sum(x),87109
skew4(x),8974424
skew4(x),9407101
kurtosis(x),11845899
kurtosis(x),8980271
dumbk(x),19756802
sd3(x),995258
kurt5(x),17931004
sum(x),172811
mean(x),196443
sd3(x),975050
kurt5(x),16394837
kurt5(x),18091413
kurtosis(x),9351355
sd3(x),941129
