expr,time
mean(x),265439
skew4(x),7730910
sd(x),492710
sum(x),88756
mean(x),180702
sum(x),76792
skew4(x),7800795
mean(x),157147
sum(x),76427
skew4(x),7830093
kurt5(x),13469777
kurtosis(x),7233636
sum(x),84615
skew4(x),7631918
dumbk(x),14917337
sum(x),84919
skew4(x),7603759
skewness(x),7271194
sd3(x),694193
kurtosis(x),6952921
sd(x),389376
mean(x),173233
kurt5(x),13507721
sum(x),76651
skewness(x),7168080
sd(x),364314
mean(x),179059
sd3(x),739204
skewness(x),7065403
kurtosis(x),7110646
mean(x),154922
sum(x),76379
kurtosis(x),6828183
mean(x),154432
sum(x),75988
sd(x),341753
kurt5(x),13876889
skew4(x),7681612
skew4(x),7805708
skew4(x),7712046
kurtosis(x),6992549
sum(x),76366
sd3(x),663588
sd3(x),661870
sum(x),76132
skewness(x),7143778
mean(x),154968
sum(x),75987
sd3(x),664131
dumbk(x),27603775
sum(x),76692
sd(x),377467
sd(x),463062
kurtosis(x),9262079
dumbk(x),15398436
sum(x),85653
sum(x),84478
skewness(x),7233013
sum(x),77084
sd(x),359111
sum(x),76165
sd(x),315557
sum(x),75964
kurt5(x),13670420
skew4(x),7761559
skew4(x),7985131
kurt5(x),13518985
mean(x),190045
sum(x),77544
sd(x),355195
sd(x),313874
dumbk(x),14821688
kurt5(x),13796000
kurt5(x),13568802
skew4(x),7622899
sd(x),371590
dumbk(x),14761358
sum(x),76564
sd(x),373070
sum(x),76030
dumbk(x),14500249
kurtosis(x),7022337
kurt5(x),13481322
sd(x),322496
sd3(x),663783
mean(x),155845
dumbk(x),14590415
sd(x),314273
skewness(x),7141195
sum(x),76428
sum(x),75953
skew4(x),7573301
kurtosis(x),7051349
kurt5(x),13379839
dumbk(x),14626965
sum(x),85299
dumbk(x),14807210
dumbk(x),14972174
kurt5(x),13478258
sum(x),76495
sd3(x),683305
kurt5(x),13382274
mean(x),155031
skew4(x),7785740
sd(x),379521
sd3(x),661050
kurt5(x),13306211
sum(x),76162
kurt5(x),13401932
dumbk(x),14830893
kurtosis(x),6829004
skew4(x),7895916
skewness(x),7107306
skewness(x),6996189
sd3(x),665715
skewness(x),7143789
dumbk(x),14862749
mean(x),154622
skew4(x),7914071
sd3(x),666716
sd(x),322177
sd3(x),662813
sum(x),76538
sd3(x),659504
skew4(x),7807963
skew4(x),7617224
mean(x),168100
sd3(x),733806
sd(x),356616
dumbk(x),16085124
skewness(x),7101805
kurt5(x),13608413
sd3(x),693320
dumbk(x),14626609
sum(x),76500
skewness(x),7110436
kurt5(x),13544856
dumbk(x),14639173
sum(x),76522
dumbk(x),14665398
dumbk(x),14897042
sd(x),354356
mean(x),171977
mean(x),176793
sd3(x),675104
kurtosis(x),6855100
kurt5(x),13428704
sd3(x),715013
mean(x),155411
dumbk(x),14789155
sum(x),76349
kurtosis(x),6812010
skewness(x),7146255
skewness(x),7106950
skewness(x),7038236
sd3(x),672801
dumbk(x),14757377
kurt5(x),13538885
kurtosis(x),7009529
sd(x),333931
skewness(x),7237672
skewness(x),7379907
kurt5(x),13474439
mean(x),156792
sd(x),344839
