expr,time
mean(x),281285
skew4(x),10573502
sd(x),668226
sum(x),93156
mean(x),210627
sum(x),122702
skew4(x),9729559
mean(x),164137
sum(x),79932
skew4(x),9560457
kurt5(x),16672250
kurtosis(x),8496973
sum(x),135630
skew4(x),9363750
dumbk(x),17553801
sum(x),80224
skew4(x),9195022
skewness(x),8470494
sd3(x),1152144
kurtosis(x),8152807
sd(x),480861
mean(x),163926
kurt5(x),16347266
sum(x),87309
skewness(x),9939943
sd(x),527265
mean(x),181196
sd3(x),1225889
skewness(x),8578902
kurtosis(x),8184753
mean(x),163837
sum(x),79869
kurtosis(x),8196455
mean(x),164271
sum(x),79729
sd(x),513768
kurt5(x),16219348
skew4(x),9116233
skew4(x),9473814
skew4(x),10173011
kurtosis(x),8571336
sum(x),82231
sd3(x),1154886
sd3(x),1190515
sum(x),79792
skewness(x),10070308
mean(x),164886
sum(x),79888
sd3(x),1124428
dumbk(x),17338823
sum(x),80393
sd(x),459907
sd(x),459567
kurtosis(x),8272845
dumbk(x),17259385
sum(x),80108
sum(x),79556
skewness(x),8415285
sum(x),79726
sd(x),465581
sum(x),79702
sd(x),459007
sum(x),79661
kurt5(x),15974166
skew4(x),9207201
skew4(x),9135904
kurt5(x),15863213
mean(x),169099
sum(x),79991
sd(x),489238
sd(x),459786
dumbk(x),17135699
kurt5(x),15862366
kurt5(x),15881426
skew4(x),9088084
sd(x),462456
dumbk(x),18764202
sum(x),80396
sd(x),458454
sum(x),79870
dumbk(x),17028060
kurtosis(x),8139120
kurt5(x),16170950
sd(x),506767
sd3(x),1117394
mean(x),166966
dumbk(x),17256488
sd(x),459633
skewness(x),8480285
sum(x),82328
sum(x),79608
skew4(x),9615231
kurtosis(x),8422390
kurt5(x),16017864
dumbk(x),17292909
sum(x),80339
dumbk(x),20254984
dumbk(x),17236784
kurt5(x),16004797
sum(x),80443
sd3(x),1117245
kurt5(x),15936700
mean(x),164564
skew4(x),9512049
sd(x),553123
sd3(x),1119242
kurt5(x),16004301
sum(x),80584
kurt5(x),16739719
dumbk(x),17224925
kurtosis(x),8196967
skew4(x),9201908
skewness(x),8462213
skewness(x),8513236
sd3(x),1233346
skewness(x),8810884
dumbk(x),18979676
mean(x),162862
skew4(x),9061690
sd3(x),1115609
sd(x),462291
sd3(x),1114487
sum(x),80020
sd3(x),1116404
skew4(x),9306692
skew4(x),9132475
mean(x),164953
sd3(x),1114953
sd(x),499603
dumbk(x),17420809
skewness(x),8478512
kurt5(x),16037222
sd3(x),1138872
dumbk(x),17265594
sum(x),80191
skewness(x),8711243
kurt5(x),16331522
dumbk(x),17255492
sum(x),80029
dumbk(x),18783774
dumbk(x),17300611
sd(x),459644
mean(x),162148
mean(x),178284
sd3(x),1152625
kurtosis(x),8192612
kurt5(x),16287147
sd3(x),1115617
mean(x),166265
dumbk(x),17339167
sum(x),80151
kurtosis(x),8203568
skewness(x),8548310
skewness(x),8403865
skewness(x),10157224
sd3(x),1157353
dumbk(x),17105232
kurt5(x),16302754
kurtosis(x),8187702
sd(x),468488
skewness(x),8515147
skewness(x),8430590
kurt5(x),15871187
mean(x),166176
sd(x),491062
dumbk(x),17157356
kurt5(x),16007194
sum(x),81860
mean(x),166535
kurtosis(x),8547391
dumbk(x),19329554
kurtosis(x),8167387
skewness(x),10586603
skew4(x),11124140
skewness(x),10328682
skewness(x),9825775
dumbk(x),18650692
skew4(x),10042851
skewness(x),9224916
sd3(x),1217301
mean(x),178167
sd(x),511132
dumbk(x),18672464
skew4(x),9852297
kurt5(x),17191763
sum(x),80597
kurt5(x),16103812
kurtosis(x),9856987
dumbk(x),17390183
mean(x),163581
sd3(x),1131206
kurt5(x),16347373
kurt5(x),15862857
sd3(x),1114062
sd3(x),1166737
skewness(x),8409287
skewness(x),8388820
mean(x),164291
skew4(x),9047063
sd3(x),1115771
sd3(x),1134975
skewness(x),8387103
sum(x),79993
kurtosis(x),8120383
kurt5(x),15925833
kurtosis(x),8161324
sd3(x),1119087
dumbk(x),17141243
sd(x),463685
sd3(x),1122724
skewness(x),10004490
