expr,time
mean(x),283999
skew4(x),9826912
sd(x),15759421
sum(x),119433
mean(x),267811
sum(x),108683
skew4(x),11186245
mean(x),252571
sum(x),96828
skew4(x),10091362
kurt5(x),16928397
kurtosis(x),25834991
sum(x),80618
skew4(x),9435315
dumbk(x),17733253
sum(x),80274
skew4(x),9280190
skewness(x),8800034
sd3(x),1167079
kurtosis(x),8238961
sd(x),564801
mean(x),187585
kurt5(x),16148152
sum(x),83801
skewness(x),8699156
sd(x),487911
mean(x),166158
sd3(x),1131738
skewness(x),9059448
kurtosis(x),8974172
mean(x),178704
sum(x),86820
kurtosis(x),8868789
mean(x),165190
sum(x),79887
sd(x),515157
kurt5(x),16543170
skew4(x),9155902
skew4(x),9364291
skew4(x),9100983
kurtosis(x),8410549
sum(x),80520
sd3(x),1132467
sd3(x),1114089
sum(x),79824
skewness(x),10290915
mean(x),166575
sum(x),79907
sd3(x),1132027
dumbk(x),17755592
sum(x),80609
sd(x),460723
sd(x),502027
kurtosis(x),8249574
dumbk(x),17485583
sum(x),80463
sum(x),79845
skewness(x),8574466
sum(x),80817
sd(x),481749
sum(x),79948
sd(x),459021
sum(x),79784
kurt5(x),16371775
skew4(x),9202131
skew4(x),9256980
kurt5(x),16146198
mean(x),184323
sum(x),81212
sd(x),481512
sd(x),461689
dumbk(x),17544934
kurt5(x),16153557
kurt5(x),16260786
skew4(x),9337429
sd(x),568407
dumbk(x),19034996
sum(x),80253
sd(x),460608
sum(x),79852
dumbk(x),17806400
kurtosis(x),8269107
kurt5(x),16271149
sd(x),492158
sd3(x),1144498
mean(x),215621
dumbk(x),18723054
sd(x),500675
skewness(x),8908848
sum(x),80283
sum(x),79692
skew4(x),9354200
kurtosis(x),8299601
kurt5(x),16187098
dumbk(x),17462544
sum(x),80428
dumbk(x),19181557
dumbk(x),17602343
kurt5(x),16219529
sum(x),81707
sd3(x),1301176
kurt5(x),17293207
mean(x),191923
skew4(x),9744590
sd(x),484433
sd3(x),1117111
kurt5(x),16453943
sum(x),87609
kurt5(x),16209667
dumbk(x),17496051
kurtosis(x),8531981
skew4(x),9051265
skewness(x),8755615
skewness(x),8324466
sd3(x),1220548
skewness(x),8487515
dumbk(x),19041623
mean(x),162813
skew4(x),9337431
sd3(x),1145497
sd(x),480360
sd3(x),1117376
sum(x),80446
sd3(x),1114154
skew4(x),9071965
skew4(x),9229420
mean(x),173265
sd3(x),1118294
sd(x),469541
dumbk(x),17581640
skewness(x),8716046
kurt5(x),16314519
sd3(x),1124282
dumbk(x),17412624
sum(x),80233
skewness(x),8766934
kurt5(x),16399526
dumbk(x),20332595
sum(x),87615
dumbk(x),20305485
dumbk(x),17744196
sd(x),484408
mean(x),163067
mean(x),161874
sd3(x),1173385
kurtosis(x),8420217
kurt5(x),16547272
sd3(x),1257897
mean(x),195283
dumbk(x),17557570
sum(x),95351
kurtosis(x),8483903
skewness(x),9057595
skewness(x),8758268
skewness(x),10688531
sd3(x),1201003
dumbk(x),17824198
kurt5(x),16291957
kurtosis(x),9436234
sd(x),533780
skewness(x),8685613
skewness(x),8679192
kurt5(x),16730696
mean(x),238659
sd(x),508262
dumbk(x),18741128
kurt5(x),16628299
sum(x),88409
mean(x),176575
kurtosis(x),8260184
dumbk(x),20152074
kurtosis(x),8611064
skewness(x),8501492
skew4(x),9526893
skewness(x),8920009
skewness(x),8450591
dumbk(x),18316449
skew4(x),9825275
skewness(x),10102532
sd3(x),1184962
mean(x),172019
sd(x),591078
dumbk(x),18991952
skew4(x),9204891
kurt5(x),16323204
sum(x),84180
kurt5(x),16935393
kurtosis(x),10322434
dumbk(x),17692816
mean(x),162961
sd3(x),1187603
kurt5(x),16881504
kurt5(x),16247368
sd3(x),1143721
sd3(x),1116118
skewness(x),9349144
skewness(x),8808654
mean(x),166960
skew4(x),9711323
sd3(x),1126193
sd3(x),1114187
skewness(x),8604740
sum(x),80189
kurtosis(x),8612213
kurt5(x),16890177
kurtosis(x),8351083
sd3(x),1275147
dumbk(x),17760221
sd(x),462867
sd3(x),1181178
skewness(x),10345453
mean(x),169558
dumbk(x),18677586
kurt5(x),17459636
sd3(x),1396676
dumbk(x),18654116
sum(x),82710
sd(x),473113
sd3(x),1161916
sd3(x),1145400
sd3(x),1168473
sd3(x),1144638
kurtosis(x),8550858
mean(x),181783
sd3(x),1359829
sd(x),503108
sd(x),473237
skewness(x),8534915
dumbk(x),18050407
sd3(x),1157266
kurtosis(x),8558464
sd3(x),1130404
kurt5(x),16309872
kurt5(x),16181660
dumbk(x),19935444
sum(x),87406
skew4(x),9928949
kurtosis(x),8485934
sd(x),496568
kurt5(x),16964445
kurtosis(x),8766250
kurt5(x),16628935
sd(x),509308
skewness(x),8621446
skew4(x),10526715
skew4(x),9808097
skew4(x),9323541
sum(x),83172
sd(x),493103
sd3(x),1156981
dumbk(x),17733941
sum(x),80404
kurt5(x),16436533
dumbk(x),17727885
kurtosis(x),8575404
mean(x),166251
sum(x),80117
sum(x),79710
skewness(x),9868704
sum(x),80446
dumbk(x),17686408
sum(x),87363
sum(x),86693
kurtosis(x),8386045
sd3(x),1134806
sd3(x),1117292
sum(x),79753
mean(x),165746
kurtosis(x),8549714
sd(x),488188
kurtosis(x),8221367
sd(x),466627
kurtosis(x),8952346
sd3(x),1161875
kurt5(x),16937134
sum(x),160348
skew4(x),10635742
mean(x),254697
kurt5(x),16656597
skew4(x),9480957
kurt5(x),16526429
skew4(x),10012843
kurtosis(x),8316794
mean(x),165819
skew4(x),9789094
sum(x),88224
kurtosis(x),8224348
mean(x),164800
kurt5(x),16372228
dumbk(x),19330903
kurt5(x),17972563
sd(x),659018
skewness(x),8810833
kurt5(x),16672430
skew4(x),9770074
sd(x),499351
kurtosis(x),8188415
kurtosis(x),8714737
kurtosis(x),8122225
sd(x),490240
sd(x),551157
sd3(x),1184137
skewness(x),9060939
dumbk(x),17888723
sd3(x),1140099
kurtosis(x),8311040
sd3(x),1229222
sum(x),103111
sd3(x),1123933
skewness(x),8381410
dumbk(x),19948720
kurt5(x),16588503
kurt5(x),16469434
skewness(x),8988516
skewness(x),8350535
sd3(x),1219738
mean(x),207434
dumbk(x),18312024
sd(x),560254
skewness(x),8368926
mean(x),163679
mean(x),161919
sd(x),471566
dumbk(x),17738701
sum(x),80278
skew4(x),9761870
mean(x),180713
skewness(x),8398912
sum(x),80249
skew4(x),9621094
skew4(x),9103619
