expr,time
mean(x),287454
skew4(x),8350267
sd(x),487886
sum(x),86326
mean(x),173869
sum(x),83121
skew4(x),8303104
mean(x),168515
sum(x),81003
skew4(x),8074913
kurt5(x),14016061
kurtosis(x),24937509
sum(x),80764
skew4(x),8103363
dumbk(x),16363052
sum(x),93214
skew4(x),9249277
skewness(x),7807880
sd3(x),806447
kurtosis(x),7688731
sd(x),431080
mean(x),174514
kurt5(x),14658947
sum(x),93275
skewness(x),7965938
sd(x),409734
mean(x),169938
sd3(x),765730
skewness(x),7952340
kurtosis(x),7689601
mean(x),170444
sum(x),82706
kurtosis(x),7460741
mean(x),169518
sum(x),87560
sd(x),390238
kurt5(x),14683335
skew4(x),8387489
skew4(x),8206928
skew4(x),8083751
kurtosis(x),7306672
sum(x),91706
sd3(x),720660
sd3(x),718910
sum(x),80299
skewness(x),7316664
mean(x),165011
sum(x),80337
sd3(x),721113
dumbk(x),29268970
sum(x),83027
sd(x),343994
sd(x),337666
kurtosis(x),7477384
dumbk(x),15377385
sum(x),81397
sum(x),79912
skewness(x),7426582
sum(x),80618
sd(x),359005
sum(x),80133
sd(x),332215
sum(x),80332
kurt5(x),14008990
skew4(x),8047176
skew4(x),8000429
kurt5(x),13913580
mean(x),168212
sum(x),80710
sd(x),345078
sd(x),330422
dumbk(x),15246848
kurt5(x),14046927
kurt5(x),14205613
skew4(x),8468624
sd(x),427263
dumbk(x),16415143
sum(x),83648
sd(x),347728
sum(x),82234
dumbk(x),15813545
kurtosis(x),7800587
kurt5(x),15628842
sd(x),469173
sd3(x),726711
mean(x),175813
dumbk(x),15437227
sd(x),333080
skewness(x),7385080
sum(x),81308
sum(x),79919
skew4(x),8112503
kurtosis(x),7304645
kurt5(x),14036029
dumbk(x),15335007
sum(x),80905
dumbk(x),15143655
dumbk(x),15293912
kurt5(x),14004175
sum(x),81803
sd3(x),699484
kurt5(x),13925210
mean(x),166374
skew4(x),8074461
sd(x),345306
sd3(x),697376
kurt5(x),13958443
sum(x),80752
kurt5(x),14042252
dumbk(x),15180077
kurtosis(x),7219709
skew4(x),8120874
skewness(x),7369093
skewness(x),7412397
sd3(x),754196
skewness(x),7457002
dumbk(x),15141921
mean(x),167265
skew4(x),8095916
sd3(x),700269
sd(x),342861
sd3(x),715356
sum(x),80615
sd3(x),695779
skew4(x),8027955
skew4(x),8140652
mean(x),167485
sd3(x),718967
sd(x),339773
dumbk(x),15139381
skewness(x),7326089
kurt5(x),14026686
sd3(x),701064
dumbk(x),15378116
sum(x),91607
skewness(x),7387357
kurt5(x),14008980
dumbk(x),15055893
sum(x),80663
dumbk(x),15244252
dumbk(x),15301897
sd(x),355977
mean(x),162876
mean(x),161887
sd3(x),744970
kurtosis(x),7331826
kurt5(x),14174663
sd3(x),754170
mean(x),173853
dumbk(x),15363897
sum(x),80851
kurtosis(x),7236572
skewness(x),7331438
skewness(x),7306653
skewness(x),7513052
sd3(x),719229
dumbk(x),15142208
kurt5(x),13907590
kurtosis(x),7339307
sd(x),363152
skewness(x),7352054
skewness(x),7305805
kurt5(x),13933799
mean(x),188294
sd(x),363768
dumbk(x),15053209
kurt5(x),13923141
sum(x),80661
mean(x),163432
kurtosis(x),7168032
dumbk(x),15179711
kurtosis(x),7232339
skewness(x),7313031
skew4(x),8106434
skewness(x),7305513
skewness(x),7477374
dumbk(x),15418479
skew4(x),8101850
skewness(x),7400909
sd3(x),703280
mean(x),164063
sd(x),352044
dumbk(x),17098471
skew4(x),8550683
kurt5(x),14477210
sum(x),85098
kurt5(x),14646347
kurtosis(x),7733699
dumbk(x),15914229
mean(x),163667
sd3(x),729656
kurt5(x),14010383
kurt5(x),15071694
sd3(x),774215
sd3(x),781517
skewness(x),7524008
skewness(x),7357190
mean(x),164813
skew4(x),8055473
sd3(x),695823
sd3(x),694051
skewness(x),7350624
sum(x),80435
kurtosis(x),7284044
kurt5(x),13884888
kurtosis(x),7336122
sd3(x),702375
dumbk(x),15896896
sd(x),347735
sd3(x),768113
skewness(x),7568129
mean(x),168443
dumbk(x),15552861
kurt5(x),14301398
sd3(x),715834
dumbk(x),16427164
sum(x),80979
sd(x),333755
sd3(x),719649
sd3(x),705111
sd3(x),746370
sd3(x),713315
kurtosis(x),7299493
mean(x),163806
sd3(x),718981
sd(x),344366
sd(x),331476
skewness(x),7720514
dumbk(x),15180619
sd3(x),712110
kurtosis(x),7389789
sd3(x),701529
kurt5(x),14880212
kurt5(x),14516807
dumbk(x),15598407
sum(x),81198
skew4(x),8122374
kurtosis(x),7428910
sd(x),357403
kurt5(x),14124867
kurtosis(x),7247328
kurt5(x),13935886
sd(x),353763
skewness(x),7329673
skew4(x),8075542
skew4(x),8076227
skew4(x),8066407
sum(x),81021
sd(x),356026
sd3(x),697664
dumbk(x),15238784
sum(x),80599
kurt5(x),13907312
dumbk(x),15116174
kurtosis(x),7329672
mean(x),163407
sum(x),80225
sum(x),79960
skewness(x),7373511
sum(x),80359
dumbk(x),15050550
sum(x),80478
