expr,time
mean(x),289778
skew4(x),10818588
sd(x),677695
sum(x),90768
mean(x),187371
sum(x),86855
skew4(x),9866853
mean(x),184117
sum(x),87197
skew4(x),9775685
kurt5(x),17490841
kurtosis(x),8386955
sum(x),80091
skew4(x),9450802
dumbk(x),19072212
sum(x),92704
skew4(x),9647654
skewness(x),9036368
sd3(x),1632182
kurtosis(x),8248043
sd(x),485723
mean(x),164547
kurt5(x),16472328
sum(x),84850
skewness(x),8476933
sd(x),480707
mean(x),164640
sd3(x),1515288
skewness(x),8520244
kurtosis(x),8293127
mean(x),164696
sum(x),79849
kurtosis(x),8228680
mean(x),163709
sum(x),79729
sd(x),488224
kurt5(x),15827101
skew4(x),8967466
skew4(x),9083746
skew4(x),8922708
kurtosis(x),8325104
sum(x),79932
sd3(x),1510500
sd3(x),1563259
sum(x),79870
skewness(x),11055846
mean(x),166564
sum(x),80049
sd3(x),1483833
dumbk(x),17689276
sum(x),80141
sd(x),460454
sd(x),460368
kurtosis(x),8364714
dumbk(x),17464578
sum(x),86442
sum(x),79961
skewness(x),8410603
sum(x),80008
sd(x),468617
sum(x),79795
sd(x),458921
sum(x),79854
kurt5(x),17023735
skew4(x),10520875
skew4(x),9673251
kurt5(x),17177981
mean(x),211900
sum(x),81190
sd(x),488259
sd(x),459019
dumbk(x),18783624
kurt5(x),17086580
kurt5(x),16819988
skew4(x),10448310
sd(x),544622
dumbk(x),21444966
sum(x),85117
sd(x),521245
sum(x),91261
dumbk(x),17740869
kurtosis(x),8219383
kurt5(x),18092909
sd(x),559248
sd3(x),1653358
mean(x),194183
dumbk(x),18207215
sd(x),485072
skewness(x),8392889
sum(x),80226
sum(x),79710
skew4(x),8892113
kurtosis(x),8265685
kurt5(x),15856919
dumbk(x),17121678
sum(x),80204
dumbk(x),18767535
dumbk(x),17179821
kurt5(x),15807852
sum(x),80337
sd3(x),1522770
kurt5(x),16063282
mean(x),175016
skew4(x),9068038
sd(x),474567
sd3(x),1472250
kurt5(x),15938958
sum(x),80437
kurt5(x),18482042
dumbk(x),21110145
kurtosis(x),9441810
skew4(x),8903922
skewness(x),8471988
skewness(x),8342040
sd3(x),1479870
skewness(x),8406512
dumbk(x),19133657
mean(x),163388
skew4(x),9075381
sd3(x),1496448
sd(x),463878
sd3(x),1507876
sum(x),80129
sd3(x),1469213
skew4(x),8976918
skew4(x),8847699
mean(x),164430
sd3(x),1468169
sd(x),467769
dumbk(x),17248819
skewness(x),8397196
kurt5(x),15926712
sd3(x),1475955
dumbk(x),17223161
sum(x),80079
skewness(x),8368879
kurt5(x),16448826
dumbk(x),17488795
sum(x),80101
dumbk(x),19043696
dumbk(x),17285261
sd(x),459906
mean(x),162207
mean(x),161648
sd3(x),1489594
kurtosis(x),8213013
kurt5(x),15926228
sd3(x),1477274
mean(x),165202
dumbk(x),17110803
sum(x),80079
kurtosis(x),8137441
skewness(x),8328081
skewness(x),8410944
skewness(x),10155015
sd3(x),1481420
dumbk(x),17228097
kurt5(x),15785941
kurtosis(x),8387444
sd(x),485264
skewness(x),8400933
skewness(x),8476205
kurt5(x),18014541
mean(x),282939
sd(x),711315
dumbk(x),19825104
kurt5(x),17523932
sum(x),96370
mean(x),193989
kurtosis(x),9153110
dumbk(x),21793319
kurtosis(x),8951878
skewness(x),9481318
skew4(x),10341260
skewness(x),9253099
skewness(x),9601049
dumbk(x),18522648
skew4(x),9929654
skewness(x),8905322
sd3(x),1525986
mean(x),170874
sd(x),593717
dumbk(x),17970902
skew4(x),9060704
kurt5(x),16981910
sum(x),87691
kurt5(x),16019452
kurtosis(x),10070237
dumbk(x),17529271
mean(x),207612
sd3(x),1505854
kurt5(x),16491950
kurt5(x),16750626
sd3(x),1673712
sd3(x),1595269
skewness(x),9447806
skewness(x),9821706
mean(x),181190
skew4(x),9521570
sd3(x),1561253
sd3(x),1469042
skewness(x),8499225
sum(x),80144
kurtosis(x),8233494
kurt5(x),16102146
kurtosis(x),8773338
sd3(x),1553418
dumbk(x),17399705
sd(x),461012
sd3(x),1508399
skewness(x),10310999
mean(x),167775
dumbk(x),17515353
kurt5(x),16058661
sd3(x),1473092
dumbk(x),18081860
sum(x),80649
sd(x),462217
sd3(x),1487702
sd3(x),1463290
sd3(x),1505926
sd3(x),1469330
kurtosis(x),8804216
mean(x),166622
sd3(x),1527179
sd(x),480872
sd(x),459332
skewness(x),8491769
dumbk(x),17307836
sd3(x),1486922
kurtosis(x),8163767
sd3(x),1518271
kurt5(x),15972214
kurt5(x),15927688
dumbk(x),19437144
sum(x),80332
skew4(x),8952725
kurtosis(x),8305499
sd(x),500971
kurt5(x),18307053
kurtosis(x),8989288
kurt5(x),17322296
sd(x),522153
skewness(x),9111180
skew4(x),9388593
skew4(x),9103608
skew4(x),8899688
sum(x),80433
sd(x),482379
sd3(x),1504615
dumbk(x),17470158
sum(x),80544
kurt5(x),15986510
dumbk(x),18310513
kurtosis(x),8288549
mean(x),164448
sum(x),79708
sum(x),79631
skewness(x),10045946
sum(x),80530
dumbk(x),17913902
sum(x),80188
sum(x),79799
kurtosis(x),8272028
sd3(x),1491598
sd3(x),1469780
sum(x),143813
mean(x),164548
kurtosis(x),8234931
sd(x),477532
kurtosis(x),8223560
sd(x),492029
kurtosis(x),8384762
sd3(x),1486070
kurt5(x),16104574
sum(x),82578
skew4(x),9997321
mean(x),179625
kurt5(x),15936074
skew4(x),9674827
kurt5(x),22099862
skew4(x),11624676
kurtosis(x),10107364
mean(x),190879
skew4(x),10630985
sum(x),94849
kurtosis(x),10468152
mean(x),325231
kurt5(x),19927491
dumbk(x),24328748
kurt5(x),20393894
sd(x),548962
skewness(x),9706919
kurt5(x),19811867
skew4(x),12024973
sd(x),718659
kurtosis(x),10807635
kurtosis(x),10822744
kurtosis(x),9815383
sd(x),561477
sd(x),633508
sd3(x),2723935
skewness(x),10813352
dumbk(x),20629163
sd3(x),2104624
kurtosis(x),9236249
sd3(x),1657849
sum(x),89521
sd3(x),1905509
skewness(x),9676602
dumbk(x),21105040
kurt5(x),17024709
kurt5(x),18106690
skewness(x),9019408
skewness(x),8792764
sd3(x),1485156
mean(x),167060
dumbk(x),17491652
sd(x),460574
skewness(x),8406811
mean(x),163641
mean(x),161664
sd(x),464719
dumbk(x),17346360
sum(x),80309
skew4(x),8857771
mean(x),163709
skewness(x),8774062
sum(x),80157
skew4(x),8887892
skew4(x),8874603
kurtosis(x),9872508
kurtosis(x),8104050
dumbk(x),17432031
sd3(x),1650876
kurt5(x),16245010
sum(x),82481
mean(x),169219
sd3(x),1490248
kurt5(x),16070743
kurt5(x),15903292
kurtosis(x),8349560
sd3(x),1515182
dumbk(x),17393440
mean(x),162904
sd3(x),1479266
skewness(x),8408525
dumbk(x),17272286
kurtosis(x),9852919
kurt5(x),16006052
mean(x),168708
skew4(x),9186861
skewness(x),8451605
kurtosis(x),8164120
kurtosis(x),8142393
skew4(x),8829790
skewness(x),8375243
skew4(x),8842444
kurt5(x),15747378
sum(x),80344
skew4(x),8891318
kurtosis(x),8185137
dumbk(x),17245330
kurt5(x),16193149
sd(x),476022
dumbk(x),17499538
sd3(x),1547746
kurtosis(x),10819565
sum(x),98534
kurt5(x),18000544
kurt5(x),17157901
kurtosis(x),8943731
sum(x),87063
sd(x),548671
sd3(x),1594484
kurt5(x),17184305
dumbk(x),18624935
sum(x),87083
sum(x),86620
skew4(x),9783187
mean(x),179197
kurt5(x),17289043
dumbk(x),18676366
skew4(x),9578332
kurtosis(x),8930135
sd3(x),1637847
sum(x),87073
dumbk(x),18729588
skew4(x),9524317
sd(x),461652
kurt5(x),15964323
dumbk(x),20631579
dumbk(x),17969042
sum(x),82162
mean(x),166879
sd(x),543422
skewness(x),8538346
skew4(x),8926539
mean(x),164978
kurt5(x),15725205
kurtosis(x),8170724
mean(x),163441
sd(x),498010
kurtosis(x),9136069
skewness(x),9105291
skewness(x),8922820
kurtosis(x),8370672
kurt5(x),15884353
skewness(x),8370227
sd3(x),1473791
kurt5(x),15915662
kurtosis(x),9826351
mean(x),165969
sd(x),486781
skew4(x),8845659
sd(x),465040
kurt5(x),15817967
skewness(x),8608642
sd3(x),1473513
skew4(x),9035277
sd(x),478052
kurt5(x),16691657
sd3(x),1799469
kurtosis(x),8545207
sum(x),80231
skew4(x),9261252
mean(x),219460
dumbk(x),17562549
dumbk(x),17404659
skewness(x),8358176
mean(x),164114
kurtosis(x),8183984
sd(x),580153
sd3(x),1551636
sd3(x),1463820
kurtosis(x),8274366
skewness(x),10377090
skew4(x),8858813
kurtosis(x),8171722
kurtosis(x),8380605
skewness(x),8425900
sd(x),527545
sum(x),79994
dumbk(x),17490592
skewness(x),8384760
mean(x),164029
sd3(x),1509666
sum(x),80139
dumbk(x),17314554
skewness(x),8461385
dumbk(x),20697706
kurt5(x),16028545
sd3(x),1475352
sd(x),529756
skew4(x),8865940
mean(x),170720
kurtosis(x),8155140
dumbk(x),17169228
sd(x),461552
sd(x),459211
sd(x),485713
dumbk(x),17245808
kurtosis(x),8940453
kurtosis(x),9493989
skewness(x),9343907
dumbk(x),19099231
mean(x),162970
sd3(x),1481154
skew4(x),8881334
mean(x),163221
mean(x),162256
skew4(x),8863865
sd3(x),1463371
mean(x),163058
sum(x),80240
kurtosis(x),8137301
sum(x),79956
skew4(x),8937740
sd(x),472450
kurt5(x),15761844
skew4(x),8853319
skewness(x),8308117
kurtosis(x),8202045
sd3(x),1472354
mean(x),164492
kurtosis(x),8167689
sum(x),79940
kurtosis(x),8144859
skew4(x),8828430
skewness(x),8331355
skew4(x),8862066
sum(x),80017
sd(x),485523
sd3(x),1469752
kurtosis(x),8152865
skew4(x),8809346
dumbk(x),18827881
kurt5(x),15951277
sum(x),80585
sd(x),466341
dumbk(x),17313972
mean(x),162742
sd(x),461055
kurt5(x),16271246
mean(x),174489
dumbk(x),17969271
skewness(x),8360359
sd(x),472053
dumbk(x),18603387
sd(x),569097
skewness(x),10943567
kurt5(x),17746390
sd3(x),1483202
skew4(x),9337543
mean(x),180800
mean(x),164986
sd3(x),1535343
dumbk(x),19116588
kurt5(x),15821684
sd(x),489310
kurt5(x),15986742
skew4(x),9112441
skewness(x),8423470
mean(x),238974
sum(x),79939
mean(x),162251
kurtosis(x),8204025
mean(x),163385
sd3(x),1507726
skew4(x),8971401
skew4(x),8898852
mean(x),165944
sd3(x),1467139
dumbk(x),17299621
kurtosis(x),8167129
skew4(x),8877206
sd(x),469424
sd3(x),1562091
sum(x),80080
sd(x),461590
dumbk(x),19284751
mean(x),206291
sd3(x),1607873
kurtosis(x),9364629
sd3(x),1818656
dumbk(x),19764090
sd(x),498026
sum(x),87460
dumbk(x),17447270
sd3(x),1562007
skew4(x),8899271
skewness(x),8310107
skewness(x),8351987
dumbk(x),17406251
mean(x),162520
kurt5(x),15848156
skew4(x),8877971
skew4(x),8932555
skew4(x),8949774
mean(x),164624
skewness(x),8386066
kurtosis(x),8201188
sd(x),478153
mean(x),164117
dumbk(x),18821008
sd(x),459887
skewness(x),8285052
kurtosis(x),8101991
kurt5(x),15789350
sd3(x),1469349
sum(x),80435
dumbk(x),17540837
kurt5(x),16152023
mean(x),167113
skewness(x),8982073
sd3(x),1522327
dumbk(x),17431400
sum(x),80425
kurt5(x),15960386
sd3(x),1465614
mean(x),164385
mean(x),164331
skewness(x),8314209
sum(x),79948
dumbk(x),18716903
sd3(x),1532295
mean(x),163669
kurt5(x),15994043
kurtosis(x),8247188
kurt5(x),15777910
skew4(x),9043461
skew4(x),8856347
kurt5(x),15937835
sd(x),480712
sd(x),461268
dumbk(x),17106059
mean(x),162342
kurt5(x),15804461
mean(x),164918
sd(x),464779
kurtosis(x),8148971
kurt5(x),15867562
dumbk(x),17143448
dumbk(x),17099885
sum(x),80154
kurtosis(x),8120436
skew4(x),9100535
dumbk(x),18911376
sum(x),80293
skew4(x),8964641
dumbk(x),17216802
skewness(x),8348983
mean(x),163699
dumbk(x),17189928
skew4(x),8866998
kurtosis(x),8250655
skewness(x),8356596
kurtosis(x),8147057
mean(x),164323
sd3(x),1477019
skewness(x),9992234
kurt5(x),15790638
skewness(x),8294054
sd3(x),1471712
skew4(x),8832020
skew4(x),8863630
mean(x),169599
kurt5(x),15745729
sd3(x),1463432
skewness(x),8288784
sd(x),485918
sd(x),463517
skewness(x),8302840
kurtosis(x),8113664
mean(x),164831
sd(x),469463
skew4(x),8827168
skewness(x),8305314
dumbk(x),17119765
skew4(x),8822289
kurtosis(x),8131549
kurtosis(x),8457040
skewness(x),10285465
sd3(x),1511662
sum(x),80387
skew4(x),8922264
skew4(x),8926877
skew4(x),10376592
sd3(x),1829300
sd3(x),1794394
skewness(x),10264869
sd3(x),1799886
dumbk(x),19429951
sum(x),80305
kurtosis(x),8215149
sd(x),468509
skewness(x),8298878
sd(x),493324
skew4(x),9030419
dumbk(x),17118785
sd(x),461193
mean(x),162406
sd(x),459878
dumbk(x),17318979
sd3(x),1482591
mean(x),162442
dumbk(x),19342726
skewness(x),8961115
kurtosis(x),9298857
sd3(x),1535423
sum(x),80422
sd3(x),1463738
sd(x),486590
kurt5(x),16056267
skew4(x),9091067
mean(x),190045
sum(x),90216
mean(x),182186
mean(x),181065
sum(x),89158
skewness(x),8615363
sd3(x),1471495
kurt5(x),15844804
sd(x),479153
sum(x),80178
sd3(x),1465447
sd3(x),1633184
sd(x),461777
sd(x),484129
dumbk(x),17234686
skewness(x),8512005
skew4(x),8944769
sd(x),471996
kurtosis(x),8345317
sum(x),80333
sd(x),510330
kurtosis(x),8199966
sd3(x),1477704
kurt5(x),15857587
skewness(x),9961539
mean(x),165546
sum(x),137237
dumbk(x),17084740
sd(x),463218
dumbk(x),17127522
skewness(x),8354451
sd3(x),1487547
skewness(x),8302458
kurtosis(x),8146054
mean(x),164789
sd3(x),1471663
sum(x),79952
dumbk(x),17328250
mean(x),162592
sd(x),460634
kurtosis(x),9773856
kurt5(x),15772733
skewness(x),8285177
dumbk(x),17110946
kurtosis(x),8141582
kurtosis(x),8685974
skewness(x),8751821
kurtosis(x),8179087
kurtosis(x),8738946
sd(x),489101
kurtosis(x),8374998
kurt5(x),15960827
mean(x),167772
sum(x),80477
skew4(x),9162725
kurt5(x),15995371
kurt5(x),15878217
sd(x),478156
kurt5(x),15772307
sd3(x),1464692
sd(x),473483
kurtosis(x),9989714
skew4(x),8904592
sd(x),555582
sd3(x),1467476
sum(x),80381
dumbk(x),17490357
skew4(x),8894045
dumbk(x),17360540
kurtosis(x),8278113
kurtosis(x),8272264
sum(x),79948
kurtosis(x),8250837
dumbk(x),18359467
sum(x),87208
kurt5(x),17160214
kurt5(x),17097194
kurt5(x),17127925
dumbk(x),20497419
kurt5(x),17204133
kurtosis(x),8892007
kurtosis(x),8837244
dumbk(x),18612915
dumbk(x),18600979
skew4(x),9617856
sd(x),503752
skew4(x),9594920
sd(x),499192
sd3(x),1597866
skewness(x),9106313
mean(x),178107
sd3(x),1595294
sum(x),86851
sd(x),504299
sum(x),86555
skew4(x),9588452
kurtosis(x),9725448
skewness(x),10877039
kurt5(x),17198293
sd(x),528023
mean(x),208424
sd(x),504695
sd3(x),1592994
mean(x),177294
mean(x),175915
skewness(x),9002335
mean(x),178393
kurt5(x),17128548
dumbk(x),18632144
mean(x),176513
kurtosis(x),8820599
skewness(x),9059629
sum(x),100053
dumbk(x),18584383
skew4(x),9768914
mean(x),177995
skewness(x),9060279
sum(x),86858
kurt5(x),17174857
sum(x),86998
skewness(x),9921684
sd3(x),1817060
mean(x),203563
sd(x),590193
skew4(x),9959332
skewness(x),10994161
kurt5(x),17504666
sd3(x),1621028
skew4(x),9229498
skewness(x),8900265
skewness(x),8610758
skew4(x),9000772
sd(x),489700
skewness(x),8529447
dumbk(x),17194871
skew4(x),8927076
skew4(x),8860858
sum(x),80490
kurtosis(x),8162429
mean(x),164310
skewness(x),8503226
sum(x),80457
skew4(x),8923066
dumbk(x),17307371
mean(x),162927
kurtosis(x),9752159
skew4(x),8829133
kurtosis(x),8216348
mean(x),166049
kurt5(x),16353172
sum(x),99244
sd3(x),1822526
sum(x),98568
sd3(x),1796754
dumbk(x),18842247
dumbk(x),18594690
skewness(x),9123266
kurtosis(x),8963658
mean(x),179270
sd(x),515215
sd(x),644461
mean(x),229898
skewness(x),9154170
sum(x),87058
kurt5(x),17201187
kurt5(x),17094152
sd3(x),1616280
sd(x),512644
skewness(x),9011431
kurt5(x),17079862
skew4(x),9567608
sum(x),90639
dumbk(x),22490196
kurt5(x),19350513
skew4(x),10853861
sd(x),575301
skew4(x),10786997
sd(x),567776
kurtosis(x),10074440
mean(x),203225
skewness(x),9090208
dumbk(x),18211575
skewness(x),8851720
skew4(x),9012707
kurtosis(x),8293873
skewness(x),8298568
skew4(x),8825700
kurt5(x),15905140
sum(x),80656
sum(x),79958
sd3(x),1490755
sd(x),488256
kurtosis(x),8222929
mean(x),164904
dumbk(x),18920532
sd3(x),1501007
sum(x),80210
skewness(x),8306458
skewness(x),8551785
skew4(x),8903861
skew4(x),9075213
sum(x),82453
kurtosis(x),8819979
sum(x),86815
mean(x),179051
kurt5(x),17349612
mean(x),180706
kurt5(x),17029577
mean(x),177236
skew4(x),9566219
skew4(x),9573712
mean(x),177168
sd(x),526785
skewness(x),9023059
sd(x),505485
kurt5(x),17083753
skewness(x),9016466
kurt5(x),17080922
mean(x),179336
kurtosis(x),8455996
kurt5(x),16290778
kurt5(x),18129333
sd(x),557665
skewness(x),9024126
skewness(x),8993303
"slow_sd(x, w)",1874698
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",17425776
"sd3(x, wts = w)",1862686
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",17724056
