expr,time
mean(x),309269
skew4(x),8187776
sd(x),464981
sum(x),83115
mean(x),165572
sum(x),80158
skew4(x),8284557
mean(x),165773
sum(x),80519
skew4(x),8072294
kurt5(x),13960392
kurtosis(x),21725894
sum(x),81131
skew4(x),8386181
dumbk(x),15231826
sum(x),80632
skew4(x),8031179
skewness(x),7431038
sd3(x),740973
kurtosis(x),7180173
sd(x),374777
mean(x),164558
kurt5(x),14184782
sum(x),81838
skewness(x),7278435
sd(x),359736
mean(x),164043
sd3(x),702822
skewness(x),7364609
kurtosis(x),7206989
mean(x),163948
sum(x),80652
kurtosis(x),7288951
mean(x),163845
sum(x),80039
sd(x),376038
kurt5(x),14398822
skew4(x),8013714
skew4(x),8110631
skew4(x),8054192
kurtosis(x),7224947
sum(x),80591
sd3(x),780501
sd3(x),694417
sum(x),80047
skewness(x),7631517
mean(x),165549
sum(x),80379
sd3(x),702789
dumbk(x),29184046
sum(x),81026
sd(x),338330
sd(x),329913
kurtosis(x),7174334
dumbk(x),15231129
sum(x),87034
sum(x),80137
skewness(x),8012491
sum(x),81453
sd(x),374695
sum(x),80160
sd(x),334570
sum(x),80098
kurt5(x),14112826
skew4(x),8004777
skew4(x),8091528
kurt5(x),14493169
mean(x),177933
sum(x),83145
sd(x),369825
sd(x),416934
dumbk(x),15357212
kurt5(x),14269980
kurt5(x),14206850
skew4(x),8435754
sd(x),343195
dumbk(x),15131875
sum(x),80838
sd(x),332684
sum(x),80300
dumbk(x),15150545
kurtosis(x),7217803
kurt5(x),14316878
sd(x),381904
sd3(x),701768
mean(x),166625
dumbk(x),15047785
sd(x),341257
skewness(x),7294469
sum(x),80554
sum(x),79884
skew4(x),8033444
kurtosis(x),7287593
kurt5(x),14172113
dumbk(x),15090422
sum(x),80728
dumbk(x),15117904
dumbk(x),15367165
kurt5(x),13962410
sum(x),81443
sd3(x),724224
kurt5(x),14043383
mean(x),172181
skew4(x),7987704
sd(x),368036
sd3(x),697285
kurt5(x),14285870
sum(x),80897
kurt5(x),13850950
dumbk(x),15247609
kurtosis(x),7195617
skew4(x),8318998
skewness(x),8230386
skewness(x),7489140
sd3(x),711442
skewness(x),9718669
dumbk(x),15490619
mean(x),163140
skew4(x),8558047
sd3(x),699963
sd(x),355174
sd3(x),697254
sum(x),80935
sd3(x),758006
skew4(x),8039716
skew4(x),8095458
mean(x),190297
sd3(x),715884
sd(x),342533
dumbk(x),15325669
skewness(x),7273577
kurt5(x),14340873
sd3(x),701595
dumbk(x),15290080
sum(x),80941
skewness(x),7647272
kurt5(x),14210697
dumbk(x),15391836
sum(x),81016
dumbk(x),15489696
dumbk(x),15567887
sd(x),348138
mean(x),167213
mean(x),166256
sd3(x),736141
kurtosis(x),7690595
kurt5(x),14143583
sd3(x),773443
mean(x),168846
dumbk(x),15167891
sum(x),80995
kurtosis(x),7669651
skewness(x),7699711
skewness(x),7763273
skewness(x),7801585
sd3(x),711385
dumbk(x),15400389
kurt5(x),13977587
kurtosis(x),7571568
sd(x),361113
skewness(x),8358949
skewness(x),7615504
kurt5(x),14103989
mean(x),169821
sd(x),383143
dumbk(x),15314771
kurt5(x),14004306
sum(x),81745
mean(x),166948
kurtosis(x),7268296
dumbk(x),15238211
kurtosis(x),7324042
skewness(x),7726218
skew4(x),8070353
skewness(x),7274016
skewness(x),7376912
dumbk(x),15291678
skew4(x),7955120
skewness(x),7743730
sd3(x),704391
mean(x),163653
sd(x),358871
dumbk(x),15167944
skew4(x),8039368
kurt5(x),13943484
sum(x),81591
kurt5(x),14110285
kurtosis(x),7176953
dumbk(x),15218416
mean(x),162715
sd3(x),707528
kurt5(x),13940252
kurt5(x),14277926
sd3(x),696852
sd3(x),696255
skewness(x),7355203
skewness(x),7413641
mean(x),173004
skew4(x),8077231
sd3(x),695952
sd3(x),715722
skewness(x),7387187
sum(x),80923
kurtosis(x),7387832
kurt5(x),13943825
kurtosis(x),7264996
sd3(x),701033
dumbk(x),15121522
sd(x),334520
