expr,time
mean(x),338215
skew4(x),10503478
sd(x),678112
sum(x),96426
mean(x),197567
sum(x),91859
skew4(x),10007107
mean(x),191366
sum(x),92168
skew4(x),10056632
kurt5(x),17672489
kurtosis(x),9661394
sum(x),94789
skew4(x),9886941
dumbk(x),21054615
sum(x),107387
skew4(x),10475475
skewness(x),9646491
sd3(x),904235
kurtosis(x),8313258
sd(x),487678
mean(x),164996
kurt5(x),16177185
sum(x),87504
skewness(x),8903971
sd(x),486408
mean(x),166455
sd3(x),866230
skewness(x),8316818
kurtosis(x),8512111
mean(x),165592
sum(x),102735
kurtosis(x),8262322
mean(x),225872
sum(x),123650
sd(x),535517
kurt5(x),15763739
skew4(x),8940498
skew4(x),8664273
skew4(x),8807587
kurtosis(x),8229146
sum(x),79979
sd3(x),1083188
sd3(x),852924
sum(x),80370
skewness(x),10487933
mean(x),168540
sum(x),79827
sd3(x),861532
dumbk(x),17811283
sum(x),96362
sd(x),506194
sd(x),535329
kurtosis(x),9147521
dumbk(x),17637117
sum(x),80114
sum(x),79586
skewness(x),8608120
sum(x),84255
sd(x),492744
sum(x),80309
sd(x),462248
sum(x),107883
kurt5(x),15897527
skew4(x),8911118
skew4(x),9131823
kurt5(x),16229446
mean(x),215373
sum(x),87718
sd(x),510412
sd(x),525495
dumbk(x),17865809
kurt5(x),15740226
kurt5(x),15456222
skew4(x),8606626
sd(x),464756
dumbk(x),18813242
sum(x),80106
sd(x),459912
sum(x),79763
dumbk(x),17133182
kurtosis(x),8136941
kurt5(x),15952202
sd(x),475067
sd3(x),875859
mean(x),167019
dumbk(x),17430735
sd(x),460130
skewness(x),8350146
sum(x),80045
sum(x),79505
skew4(x),8710751
kurtosis(x),8173335
kurt5(x),15530487
dumbk(x),18298229
sum(x),155387
dumbk(x),19256982
dumbk(x),17261556
kurt5(x),15537076
sum(x),80550
sd3(x),851218
kurt5(x),15583150
mean(x),165789
skew4(x),8579577
sd(x),466705
sd3(x),852598
kurt5(x),15543217
sum(x),81865
kurt5(x),15583066
dumbk(x),17945344
kurtosis(x),8372459
skew4(x),8855206
skewness(x),8433459
skewness(x),8472172
sd3(x),906096
skewness(x),8397616
dumbk(x),19119451
mean(x),163286
skew4(x),8641119
sd3(x),850818
sd(x),463544
sd3(x),879326
sum(x),80448
sd3(x),884412
skew4(x),8608052
skew4(x),8613233
mean(x),163732
sd3(x),848614
sd(x),461567
dumbk(x),23281084
skewness(x),11460563
kurt5(x),21589868
sd3(x),855267
dumbk(x),23126740
sum(x),98294
skewness(x),10292206
kurt5(x),17149529
dumbk(x),18192088
sum(x),84676
dumbk(x),19698693
dumbk(x),17339815
sd(x),482156
mean(x),163079
mean(x),161632
sd3(x),866756
kurtosis(x),8125396
kurt5(x),15685400
sd3(x),876091
mean(x),167846
dumbk(x),17524302
sum(x),87059
kurtosis(x),8412754
skewness(x),8887061
skewness(x),8818445
skewness(x),10745476
sd3(x),868482
dumbk(x),18106925
kurt5(x),16956592
kurtosis(x),8336771
sd(x),484230
skewness(x),8539131
