expr,time
sd3(x),1451006
kurt5(x),8741910
mean(x),326790
sum(x),99286
skewness(x),5743329
sum(x),163689
dumbk(x),13835839
kurt5(x),8843443
skewness(x),4204159
mean(x),174582
skewness(x),4306867
kurt5(x),8895083
sum(x),91703
sum(x),82262
sd(x),349857
skewness(x),4918583
sd(x),404820
skewness(x),5070584
sd3(x),1100534
kurt5(x),8014111
mean(x),179524
mean(x),167624
sd3(x),1094404
dumbk(x),13205187
sd(x),366679
dumbk(x),9476325
sd(x),501005
sum(x),158124
sd(x),573097
dumbk(x),8716629
kurtosis(x),4596007
mean(x),174059
kurtosis(x),3801253
skewness(x),3847642
sum(x),83232
sd(x),360112
sum(x),84681
skewness(x),3941051
kurtosis(x),4627717
mean(x),173363
sd3(x),1055815
kurtosis(x),3803491
mean(x),165053
kurt5(x),8479922
mean(x),192682
skewness(x),4717954
kurt5(x),8285581
sd3(x),1048843
dumbk(x),9128946
sd3(x),1054648
mean(x),169205
kurt5(x),7622032
mean(x),172630
kurt5(x),9379948
skew4(x),6866493
sd3(x),1042216
skewness(x),4644916
dumbk(x),8265553
sd3(x),1058338
sd(x),325946
kurt5(x),8459306
skew4(x),7333384
sd3(x),1314590
kurtosis(x),6119724
skew4(x),6787479
sum(x),90876
kurt5(x),8324448
mean(x),229515
skew4(x),7566019
sd3(x),1110695
mean(x),208401
kurt5(x),9973967
kurtosis(x),6038969
sd3(x),1405794
skew4(x),8470986
kurtosis(x),6108087
sd3(x),1072519
skewness(x),12545944
dumbk(x),9934458
kurt5(x),9352489
sd3(x),1236537
dumbk(x),11422462
skewness(x),5502856
sd(x),376665
sum(x),85449
kurtosis(x),4407524
kurtosis(x),6769115
dumbk(x),11039575
sum(x),119509
kurtosis(x),5764690
dumbk(x),8966692
skew4(x),8502946
kurt5(x),8299917
skewness(x),5861426
skew4(x),7347657
skewness(x),4003783
mean(x),177608
sd(x),501433
sd3(x),1587128
sd3(x),1474076
skew4(x),7523950
dumbk(x),13426073
kurt5(x),8560820
dumbk(x),11424600
dumbk(x),11447512
sd3(x),1208407
kurt5(x),8704331
sd3(x),1219920
kurt5(x),8237794
kurt5(x),7635961
sd(x),353415
mean(x),178204
dumbk(x),10171959
skewness(x),4555191
kurt5(x),9135599
sd3(x),1190514
skewness(x),4452625
sum(x),84026
sum(x),82022
kurtosis(x),4013112
sd3(x),1383255
skew4(x),6986671
mean(x),193527
kurt5(x),8320713
sd(x),419515
sd3(x),1444908
dumbk(x),10510712
dumbk(x),17990302
skewness(x),4765297
dumbk(x),10460123
sd(x),351625
sd(x),336795
dumbk(x),10176947
dumbk(x),9438592
skewness(x),5260130
skewness(x),4332947
kurtosis(x),4399458
skewness(x),4471273
sum(x),150648
mean(x),230437
sd3(x),1201641
sum(x),87987
sd(x),381025
skew4(x),6866988
sum(x),103527
skewness(x),4587475
kurtosis(x),5064428
skew4(x),7341985
sd(x),377154
sum(x),84585
sum(x),84654
kurt5(x),8615131
dumbk(x),8923013
sd(x),401297
kurt5(x),8584425
sd(x),389608
kurtosis(x),4683534
kurtosis(x),4118987
mean(x),171121
kurtosis(x),4672549
kurt5(x),7909754
skewness(x),4546280
dumbk(x),9895168
dumbk(x),9453938
skew4(x),7281912
sd3(x),1062932
skew4(x),6862134
dumbk(x),11481900
skewness(x),4129819
mean(x),177140
mean(x),175701
mean(x),171295
kurtosis(x),4051818
skewness(x),9264168
sum(x),96896
sd3(x),1103458
dumbk(x),9018501
sd3(x),1243554
sd(x),430753
