expr,time
mean(x),268284
skew4(x),8938523
sd(x),581964
sum(x),86498
mean(x),173626
sum(x),84274
skew4(x),8750541
mean(x),168322
sum(x),81994
skew4(x),8541352
kurt5(x),15069890
kurtosis(x),8960946
sum(x),80795
skew4(x),8868731
dumbk(x),17338543
sum(x),80142
skew4(x),8517268
skewness(x),8607974
sd3(x),917079
kurtosis(x),8305597
sd(x),481606
mean(x),164955
kurt5(x),15185121
sum(x),80307
skewness(x),8310847
sd(x),469528
mean(x),163770
sd3(x),862457
skewness(x),8427369
kurtosis(x),8276420
mean(x),163817
sum(x),79911
kurtosis(x),8485409
mean(x),219106
sum(x),93817
sd(x),558311
kurt5(x),15258375
skew4(x),8485424
skew4(x),8728920
skew4(x),8453951
kurtosis(x),8322240
sum(x),80040
sd3(x),862701
sd3(x),945587
sum(x),86993
skewness(x),10124721
mean(x),164766
sum(x),79881
sd3(x),865690
dumbk(x),18981377
sum(x),80504
sd(x),461650
sd(x),458345
kurtosis(x),8258021
dumbk(x),17645719
sum(x),80191
sum(x),79631
skewness(x),8472678
sum(x),79711
sd(x),467772
sum(x),79991
sd(x),458840
sum(x),79692
kurt5(x),15311536
skew4(x),8466892
skew4(x),8433715
kurt5(x),15362986
mean(x),169211
sum(x),80327
sd(x),465862
sd(x),485278
dumbk(x),17635640
kurt5(x),15307864
kurt5(x),15267990
skew4(x),8525844
sd(x),467529
dumbk(x),18686353
sum(x),80465
sd(x),461867
sum(x),79721
dumbk(x),17511234
kurtosis(x),8218408
kurt5(x),15337004
sd(x),472853
sd3(x),858986
mean(x),165750
dumbk(x),17392697
sd(x),488064
skewness(x),8327751
sum(x),80512
sum(x),79962
skew4(x),8364219
kurtosis(x),8261448
kurt5(x),15119593
dumbk(x),17294989
sum(x),80194
dumbk(x),18491065
dumbk(x),17598799
kurt5(x),15290653
sum(x),81432
sd3(x),860039
kurt5(x),15212306
mean(x),167255
skew4(x),8315567
sd(x),473720
sd3(x),858808
kurt5(x),15273054
sum(x),80842
kurt5(x),15450915
dumbk(x),17088186
kurtosis(x),8131004
skew4(x),8458461
skewness(x),8470975
skewness(x),11298794
sd3(x),876367
skewness(x),8345209
dumbk(x),18795286
mean(x),172184
skew4(x),8786302
sd3(x),931512
sd(x),469376
sd3(x),908651
sum(x),80048
sd3(x),857420
skew4(x),8319808
skew4(x),8559328
mean(x),174424
sd3(x),877182
sd(x),461145
dumbk(x),17287967
skewness(x),8564878
kurt5(x),15167741
sd3(x),857616
dumbk(x),17241585
sum(x),101685
skewness(x),8287308
kurt5(x),15237320
dumbk(x),17331759
sum(x),84560
dumbk(x),18731192
dumbk(x),17350077
sd(x),459950
mean(x),162224
mean(x),164228
sd3(x),873847
kurtosis(x),8908913
kurt5(x),16386426
sd3(x),867854
mean(x),179278
dumbk(x),18660039
sum(x),80233
kurtosis(x),8182626
skewness(x),8349108
skewness(x),8502170
skewness(x),10075592
sd3(x),874425
dumbk(x),17665517
kurt5(x),15704032
kurtosis(x),8345777
sd(x),517497
skewness(x),8443365
skewness(x),8701792
kurt5(x),15212529
mean(x),167915
sd(x),482479
dumbk(x),17174101
kurt5(x),15833920
sum(x),81834
mean(x),168001
kurtosis(x),8871288
dumbk(x),19447506
kurtosis(x),8297263
skewness(x),8269636
skew4(x),8914454
skewness(x),8290350
skewness(x),8322484
dumbk(x),17053011
skew4(x),8400129
skewness(x),8456662
sd3(x),862724
mean(x),186775
sd(x),512985
dumbk(x),17285804
skew4(x),8319554
kurt5(x),15108370
sum(x),80968
kurt5(x),15366193
kurtosis(x),9636185
dumbk(x),17057922
mean(x),163164
sd3(x),875289
kurt5(x),15538936
kurt5(x),15143529
sd3(x),856729
sd3(x),879388
skewness(x),8280700
skewness(x),8555910
mean(x),165106
skew4(x),8484786
sd3(x),967061
sd3(x),878860
skewness(x),8458241
sum(x),79887
kurtosis(x),8201500
kurt5(x),15060440
kurtosis(x),8241275
sd3(x),861524
dumbk(x),17136952
sd(x),461531
