expr,time
mean(x),249051
skew4(x),6840644
sd(x),23242993
sum(x),88417
mean(x),177014
sum(x),84661
skew4(x),6781712
mean(x),156566
sum(x),76236
skew4(x),6702521
kurt5(x),12377724
kurtosis(x),6922322
sum(x),76138
skew4(x),6711912
dumbk(x),14277141
sum(x),76233
skew4(x),6721846
skewness(x),6896953
sd3(x),718253
kurtosis(x),6803144
sd(x),353136
mean(x),155435
kurt5(x),12436577
sum(x),76456
skewness(x),6890768
sd(x),321537
mean(x),155300
sd3(x),690592
skewness(x),6893497
kurtosis(x),6819493
mean(x),154219
sum(x),76095
kurtosis(x),6858424
mean(x),154958
sum(x),76156
sd(x),349244
kurt5(x),12722000
skew4(x),6755849
skew4(x),6786973
skew4(x),6725542
kurtosis(x),6919271
sum(x),78148
sd3(x),705064
sd3(x),702157
sum(x),77980
skewness(x),6967968
mean(x),154614
sum(x),76144
sd3(x),686375
dumbk(x),31997291
sum(x),104515
sd(x),458380
sd(x),463520
kurtosis(x),7924330
dumbk(x),14855542
sum(x),77686
sum(x),76837
skewness(x),7347720
sum(x),89316
sd(x),386843
sum(x),78388
sd(x),357211
sum(x),78424
kurt5(x),12507932
skew4(x),6800952
skew4(x),6943069
kurt5(x),12810390
mean(x),176911
sum(x),101476
sd(x),372489
sd(x),337675
dumbk(x),15068244
kurt5(x),12609082
kurt5(x),12495759
skew4(x),7253246
sd(x),418337
dumbk(x),14656426
sum(x),77616
sd(x),332188
sum(x),88765
dumbk(x),14481749
kurtosis(x),6935683
kurt5(x),13400119
sd(x),419546
sd3(x),732684
mean(x),175249
dumbk(x),14979631
sd(x),341551
skewness(x),7189063
sum(x),79285
sum(x),78579
skew4(x),6939719
kurtosis(x),6972720
kurt5(x),12447105
dumbk(x),14624914
sum(x),76551
dumbk(x),15022722
dumbk(x),14288775
kurt5(x),12492697
sum(x),76711
sd3(x),686204
kurt5(x),12347476
mean(x),155816
skew4(x),6720665
sd(x),336335
sd3(x),701600
kurt5(x),12542501
sum(x),77293
kurt5(x),12323523
dumbk(x),14325876
kurtosis(x),6842752
skew4(x),6714916
skewness(x),6913681
skewness(x),6879188
sd3(x),693306
skewness(x),6875790
dumbk(x),14213699
mean(x),154179
skew4(x),6722923
sd3(x),687078
sd(x),316130
sd3(x),684564
sum(x),76225
sd3(x),685138
skew4(x),6711325
skew4(x),6707845
mean(x),154900
sd3(x),684371
sd(x),314860
dumbk(x),14221502
