expr,time
mean(x),259319
skew4(x),7952192
sd(x),440918
sum(x),87567
mean(x),157203
sum(x),76143
skew4(x),7660175
mean(x),172485
sum(x),84537
skew4(x),7726910
kurt5(x),13550270
kurtosis(x),7551933
sum(x),77134
skew4(x),7858410
dumbk(x),14595800
sum(x),76269
skew4(x),7798668
skewness(x),7034978
sd3(x),847301
kurtosis(x),7128135
sd(x),338812
mean(x),155664
kurt5(x),13371033
sum(x),76726
skewness(x),7189113
sd(x),328047
mean(x),159072
sd3(x),816391
skewness(x),7000762
kurtosis(x),7095510
mean(x),154737
sum(x),76184
kurtosis(x),7110800
mean(x),154589
sum(x),76005
sd(x),344787
kurt5(x),13360839
skew4(x),7967035
skew4(x),7692567
skew4(x),7904856
kurtosis(x),6966011
sum(x),76346
sd3(x),838401
sd3(x),908890
sum(x),76079
skewness(x),6971834
mean(x),154584
sum(x),76069
sd3(x),815359
dumbk(x),27534879
sum(x),76525
sd(x),317609
sd(x),312259
kurtosis(x),6889733
dumbk(x),14671659
sum(x),85061
sum(x),85998
skewness(x),6934532
sum(x),76037
sd(x),319484
sum(x),76075
sd(x),312624
sum(x),75970
kurt5(x),13426208
skew4(x),7689068
skew4(x),7852931
kurt5(x),13448470
mean(x),159478
sum(x),76606
sd(x),325283
sd(x),311509
dumbk(x),14490585
kurt5(x),13612031
kurt5(x),13429905
skew4(x),7638671
sd(x),330073
dumbk(x),14626789
sum(x),84952
sd(x),348022
sum(x),84438
dumbk(x),14451851
kurtosis(x),6983626
kurt5(x),13489015
sd(x),356712
sd3(x),816479
mean(x),156390
dumbk(x),17284555
sd(x),317970
skewness(x),7181288
sum(x),76463
sum(x),75783
skew4(x),7887513
kurtosis(x),6965795
kurt5(x),13390424
dumbk(x),14828742
sum(x),85055
dumbk(x),14620987
dumbk(x),14554391
kurt5(x),13364721
sum(x),76796
sd3(x),813641
kurt5(x),13451943
mean(x),155583
skew4(x),7892521
sd(x),332160
sd3(x),833053
kurt5(x),13624567
sum(x),84998
kurt5(x),13380974
dumbk(x),14521761
kurtosis(x),7026822
skew4(x),7688882
skewness(x),7175788
skewness(x),7045476
sd3(x),920486
skewness(x),7224848
dumbk(x),14495788
mean(x),154163
skew4(x),7862754
sd3(x),812470
sd(x),316856
sd3(x),816429
sum(x),76513
sd3(x),851129
skew4(x),7892328
skew4(x),7766574
mean(x),173251
sd3(x),833327
sd(x),316250
dumbk(x),14596994
skewness(x),7104384
kurt5(x),13403095
sd3(x),812842
dumbk(x),14521763
sum(x),76535
skewness(x),7262157
kurt5(x),13284739
dumbk(x),14508957
sum(x),76254
dumbk(x),14474047
dumbk(x),14725566
sd(x),345465
mean(x),154734
mean(x),153890
sd3(x),825240
kurtosis(x),6839029
kurt5(x),13407450
sd3(x),837786
mean(x),172543
dumbk(x),14711954
sum(x),76420
kurtosis(x),7028898
skewness(x),7123785
skewness(x),7250877
skewness(x),6965178
sd3(x),823926
dumbk(x),14763854
kurt5(x),13267343
kurtosis(x),6842183
sd(x),340039
skewness(x),7237348
skewness(x),7211000
kurt5(x),13329184
mean(x),155330
sd(x),329160
dumbk(x),14532112
kurt5(x),13293412
sum(x),76639
mean(x),155248
kurtosis(x),7152903
dumbk(x),14546405
kurtosis(x),7077851
skewness(x),7036851
skew4(x),7800695
skewness(x),7628346
skewness(x),7031959
dumbk(x),14678207
skew4(x),7678424
skewness(x),7184984
sd3(x),816249
mean(x),154951
sd(x),328858
dumbk(x),14536953
skew4(x),7804527
kurt5(x),13951797
sum(x),100395
kurt5(x),13830067
kurtosis(x),7475371
dumbk(x),14708577
mean(x),155176
sd3(x),825299
kurt5(x),13268683
kurt5(x),13477536
sd3(x),902858
sd3(x),825913
skewness(x),6991259
skewness(x),7363502
mean(x),155999
skew4(x),7837365
sd3(x),829500
sd3(x),810699
skewness(x),7039037
sum(x),76394
kurtosis(x),7113375
kurt5(x),13323881
kurtosis(x),7165002
sd3(x),874286
dumbk(x),14636627
sd(x),321747
sd3(x),818845
skewness(x),7275809
mean(x),154682
dumbk(x),14709685
kurt5(x),13406260
sd3(x),813520
dumbk(x),14703391
sum(x),84952
sd(x),349966
sd3(x),830012
sd3(x),811087
sd3(x),810813
sd3(x),824044
kurtosis(x),6978674
mean(x),155052
sd3(x),891897
sd(x),355798
sd(x),321033
skewness(x),7026393
dumbk(x),14582367
sd3(x),891073
kurtosis(x),6876268
sd3(x),902697
kurt5(x),13911935
kurt5(x),13483561
dumbk(x),14855949
sum(x),76804
skew4(x),7768683
kurtosis(x),6968310
sd(x),385608
kurt5(x),13255904
kurtosis(x),7083287
kurt5(x),13334490
sd(x),322531
skewness(x),7192870
skew4(x),7645891
skew4(x),7827293
skew4(x),8009099
sum(x),77904
sd(x),341725
sd3(x),878644
dumbk(x),14487962
sum(x),76434
kurt5(x),13356134
dumbk(x),14662136
kurtosis(x),6925904
mean(x),176111
sum(x),115693
sum(x),75981
skewness(x),7163531
sum(x),76084
dumbk(x),14530999
sum(x),76199
sum(x),75994
kurtosis(x),7090783
sd3(x),824390
sd3(x),811309
sum(x),76231
mean(x),155185
kurtosis(x),6995100
sd(x),354665
kurtosis(x),6984752
sd(x),318382
kurtosis(x),7165685
sd3(x),820208
kurt5(x),13518322
sum(x),90467
skew4(x),7954214
mean(x),156846
kurt5(x),13583819
skew4(x),7687125
kurt5(x),13474308
skew4(x),7653707
kurtosis(x),7086595
mean(x),154999
skew4(x),7772437
sum(x),84634
kurtosis(x),6936272
mean(x),154945
kurt5(x),13346688
dumbk(x),14702863
kurt5(x),13354290
sd(x),316670
skewness(x),7141227
kurt5(x),13361603
skew4(x),7594773
sd(x),324026
kurtosis(x),7170862
kurtosis(x),6951617
kurtosis(x),6954694
sd(x),343423
sd(x),312957
sd3(x),818579
skewness(x),7280058
dumbk(x),14526509
sd3(x),818219
kurtosis(x),7107675
sd3(x),813279
sum(x),76298
sd3(x),813057
skewness(x),7199302
dumbk(x),14582801
kurt5(x),13246867
kurt5(x),13284953
skewness(x),7167756
skewness(x),6943620
sd3(x),815602
mean(x),180295
dumbk(x),14894041
sd(x),313241
skewness(x),6942233
mean(x),155074
mean(x),153656
sd(x),318009
dumbk(x),14724580
sum(x),99829
skew4(x),8122560
mean(x),158106
skewness(x),7235094
sum(x),76228
skew4(x),7878539
skew4(x),7617556
kurtosis(x),7121548
kurtosis(x),7010468
dumbk(x),14653441
sd3(x),821599
kurt5(x),13321231
sum(x),76511
mean(x),155194
sd3(x),813010
kurt5(x),13368742
kurt5(x),13279540
kurtosis(x),7067033
sd3(x),814004
dumbk(x),14597841
mean(x),154230
sd3(x),870924
skewness(x),7142809
dumbk(x),14564934
kurtosis(x),7133466
kurt5(x),13360235
mean(x),156447
skew4(x),7813278
skewness(x),6941553
kurtosis(x),7075754
kurtosis(x),6962862
skew4(x),7747570
skewness(x),7178839
skew4(x),7832411
kurt5(x),13611958
sum(x),81123
skew4(x),7623183
kurtosis(x),7120369
dumbk(x),14552708
kurt5(x),13337743
sd(x),338728
dumbk(x),14694332
sd3(x),817616
kurtosis(x),19507095
sum(x),87992
kurt5(x),13470399
kurt5(x),13325526
kurtosis(x),6865600
sum(x),76457
sd(x),357938
sd3(x),878066
kurt5(x),13433549
dumbk(x),14520820
sum(x),76438
sum(x),75959
skew4(x),7684614
mean(x),155494
kurt5(x),13484082
dumbk(x),14547957
skew4(x),7779001
kurtosis(x),6945146
sd3(x),815964
sum(x),76238
dumbk(x),14664542
skew4(x),7653649
sd(x),316006
kurt5(x),13277850
dumbk(x),14859757
dumbk(x),14419532
sum(x),76257
mean(x),154315
sd(x),313930
skewness(x),7095264
skew4(x),7879039
mean(x),159101
kurt5(x),13516490
kurtosis(x),7022222
mean(x),154953
sd(x),348848
kurtosis(x),7064795
skewness(x),7035473
skewness(x),7311351
kurtosis(x),7196257
kurt5(x),13480805
skewness(x),6992978
sd3(x),815704
kurt5(x),13656587
kurtosis(x),6980427
mean(x),154723
sd(x),389203
skew4(x),7937688
sd(x),324264
kurt5(x),13389436
skewness(x),7205438
sd3(x),815633
skew4(x),7693953
sd(x),366566
kurt5(x),13402074
sd3(x),858786
kurtosis(x),6927481
sum(x),76219
skew4(x),7803133
mean(x),155477
dumbk(x),14511486
dumbk(x),14602430
skewness(x),7092188
mean(x),196972
kurtosis(x),7135237
sd(x),337469
sd3(x),823522
sd3(x),834619
kurtosis(x),7064233
skewness(x),7171543
skew4(x),7831562
kurtosis(x),6941977
kurtosis(x),7141432
skewness(x),7180476
sd(x),377445
sum(x),76385
dumbk(x),14533484
skewness(x),7040505
mean(x),154745
sd3(x),904855
sum(x),84641
dumbk(x),14573883
skewness(x),7041811
dumbk(x),14714382
kurt5(x),13368982
sd3(x),813019
sd(x),319354
skew4(x),7792759
mean(x),155494
kurtosis(x),6842504
dumbk(x),14639194
sd(x),337863
sd(x),350244
sd(x),346982
dumbk(x),14444162
kurtosis(x),6911822
kurtosis(x),7073059
skewness(x),7174940
dumbk(x),14515849
mean(x),154544
sd3(x),823452
skew4(x),7815544
mean(x),154544
mean(x),153759
skew4(x),7595777
sd3(x),895241
mean(x),171346
sum(x),84874
kurtosis(x),6972689
sum(x),76079
skew4(x),7844598
sd(x),327256
kurt5(x),13245334
skew4(x),7726957
skewness(x),7151032
kurtosis(x),7076115
sd3(x),819732
mean(x),154865
kurtosis(x),6960805
sum(x),87316
kurtosis(x),6969378
skew4(x),7816994
skewness(x),6970362
skew4(x),7789989
sum(x),76291
sd(x),358460
sd3(x),833118
kurtosis(x),7076023
skew4(x),7617145
dumbk(x),14671963
kurt5(x),13293086
sum(x),76532
sd(x),315990
dumbk(x),14454714
mean(x),154219
sd(x),314236
kurt5(x),13358080
mean(x),154984
dumbk(x),14583839
skewness(x),6997295
sd(x),319528
dumbk(x),14595769
sd(x),332846
skewness(x),7053688
kurt5(x),13255766
sd3(x),826091
skew4(x),7967497
mean(x),161981
mean(x),157795
sd3(x),834740
dumbk(x),14582167
kurt5(x),13458128
sd(x),334944
kurt5(x),13468612
skew4(x),7588706
skewness(x),7171246
mean(x),154547
sum(x),76149
mean(x),153850
kurtosis(x),7144010
mean(x),195462
sd3(x),880014
skew4(x),7842802
skew4(x),7864307
mean(x),172443
sd3(x),813132
dumbk(x),14836044
kurtosis(x),7107752
skew4(x),7825774
sd(x),365847
sd3(x),816326
sum(x),77095
sd(x),315152
dumbk(x),14580376
mean(x),154573
sd3(x),822745
kurtosis(x),7188355
sd3(x),820856
dumbk(x),14662721
sd(x),324949
sum(x),86936
dumbk(x),14933083
sd3(x),847599
skew4(x),7736359
skewness(x),7324217
skewness(x),7138495
dumbk(x),14927495
mean(x),154684
kurt5(x),13414490
skew4(x),7788002
skew4(x),7755579
skew4(x),7795949
mean(x),163967
skewness(x),7096657
kurtosis(x),6936738
sd(x),351106
mean(x),155574
dumbk(x),14548192
sd(x),347564
skewness(x),7111630
kurtosis(x),7153481
kurt5(x),13361341
sd3(x),815358
sum(x),76593
dumbk(x),14581535
kurt5(x),13271216
mean(x),156534
skewness(x),7166270
sd3(x),816974
dumbk(x),14502830
sum(x),76480
kurt5(x),13361674
sd3(x),897342
mean(x),155129
mean(x),153538
skewness(x),7087100
sum(x),76217
dumbk(x),14540562
sd3(x),904473
mean(x),157904
kurt5(x),13428128
kurtosis(x),6827721
kurt5(x),13356273
skew4(x),7941641
skew4(x),7938147
kurt5(x),13337315
sd(x),333077
sd(x),312264
dumbk(x),14566291
mean(x),154310
kurt5(x),13455409
mean(x),171880
sd(x),361729
kurtosis(x),7089034
kurt5(x),13335014
dumbk(x),14592148
dumbk(x),14572258
sum(x),76545
kurtosis(x),6927005
skew4(x),7801475
dumbk(x),14550361
sum(x),76337
skew4(x),7930340
dumbk(x),14519413
skewness(x),7179509
mean(x),154465
dumbk(x),14528468
skew4(x),7822118
kurtosis(x),6917651
skewness(x),7167731
kurtosis(x),6979529
mean(x),172453
sd3(x),896650
skewness(x),6926572
kurt5(x),13369250
skewness(x),7189041
sd3(x),814698
skew4(x),7869303
skew4(x),7629741
mean(x),174050
kurt5(x),13405983
sd3(x),867719
skewness(x),6970487
sd(x),351877
sd(x),313867
skewness(x),7163972
kurtosis(x),6952890
mean(x),178142
sd(x),360523
skew4(x),7630704
skewness(x),7172042
dumbk(x),14510838
skew4(x),7799371
kurtosis(x),6834362
kurtosis(x),7162285
skewness(x),7120879
sd3(x),859982
sum(x),76211
skew4(x),7602546
skew4(x),7817347
skew4(x),7782901
sd3(x),851674
sd3(x),811278
skewness(x),6988510
sd3(x),876124
dumbk(x),14775102
sum(x),76954
kurtosis(x),6822019
sd(x),341944
skewness(x),7246062
sd(x),318703
skew4(x),7812231
dumbk(x),14509974
sd(x),314690
mean(x),154472
sd(x),312724
dumbk(x),14462066
sd3(x),821533
mean(x),154369
dumbk(x),14750057
skewness(x),6923387
kurtosis(x),7148941
sd3(x),822991
sum(x),76369
sd3(x),813472
sd(x),328717
kurt5(x),13350518
skew4(x),7793993
mean(x),155858
sum(x),76315
mean(x),153884
mean(x),153892
sum(x),75940
skewness(x),7114185
sd3(x),881811
kurt5(x),13376944
sd(x),323343
sum(x),76299
sd3(x),811916
sd3(x),810917
sd(x),313254
sd(x),311530
dumbk(x),14457835
skewness(x),7171265
skew4(x),7698426
sd(x),323306
kurtosis(x),6960620
sum(x),76155
sd(x),319215
kurtosis(x),7374912
sd3(x),841226
kurt5(x),13524242
skewness(x),7233895
mean(x),155090
sum(x),76159
dumbk(x),14514520
sd(x),313684
dumbk(x),14424389
skewness(x),7244512
sd3(x),822630
skewness(x),7064145
kurtosis(x),8037903
mean(x),162492
sd3(x),850677
sum(x),78589
dumbk(x),14835155
mean(x),171816
sd(x),352950
kurtosis(x),6923803
kurt5(x),13259749
skewness(x),7185077
dumbk(x),25930997
kurtosis(x),7064973
kurtosis(x),6977760
skewness(x),7174807
kurtosis(x),7194339
kurtosis(x),6836981
sd(x),356664
kurtosis(x),7176225
kurt5(x),13288297
mean(x),156133
sum(x),76440
skew4(x),7879782
kurt5(x),13342314
kurt5(x),13251274
sd(x),374934
kurt5(x),13280323
sd3(x),814729
sd(x),314827
kurtosis(x),7109359
skew4(x),7738613
sd(x),353770
sd3(x),851486
sum(x),76286
dumbk(x),14515161
skew4(x),7782686
dumbk(x),14540692
kurtosis(x),6932910
kurtosis(x),6978714
sum(x),76268
kurtosis(x),7240261
dumbk(x),14517356
sum(x),76390
kurt5(x),13268656
kurt5(x),13514305
kurt5(x),13361111
dumbk(x),15089617
kurt5(x),13322725
kurtosis(x),6943991
kurtosis(x),7136344
dumbk(x),14450774
dumbk(x),14713863
skew4(x),7731111
sd(x),318129
skew4(x),7789252
sd(x),313587
sd3(x),812795
skewness(x),7267720
mean(x),154857
sd3(x),813589
sum(x),76366
sd(x),321002
sum(x),76067
skew4(x),7633869
kurtosis(x),7097778
skewness(x),7180661
kurt5(x),13366244
sd(x),338806
mean(x),156702
sd(x),315080
sd3(x),813639
mean(x),158107
mean(x),153855
skewness(x),7168948
mean(x),171668
kurt5(x),13492471
dumbk(x),14500814
mean(x),154570
kurtosis(x),7197524
skewness(x),6974724
sum(x),76381
dumbk(x),14688840
skew4(x),7671601
mean(x),155123
skewness(x),7277251
sum(x),76483
kurt5(x),13381858
sum(x),76124
skewness(x),7137136
sd3(x),824957
mean(x),155048
sd(x),338071
skew4(x),7640019
skewness(x),7144339
kurt5(x),13252822
sd3(x),812501
skew4(x),7827621
skewness(x),7114205
skewness(x),7083558
skew4(x),7858269
sd(x),351447
skewness(x),6993523
dumbk(x),14686226
skew4(x),7618611
skew4(x),7800799
sum(x),76613
kurtosis(x),7079305
mean(x),155183
skewness(x),6984434
sum(x),76106
skew4(x),7797527
dumbk(x),14498127
mean(x),154021
kurtosis(x),7056088
skew4(x),7663048
kurtosis(x),7037824
mean(x),154504
kurt5(x),13478407
sum(x),76202
sd3(x),813063
sum(x),76080
sd3(x),838832
dumbk(x),14755215
dumbk(x),14534775
skewness(x),7329550
kurtosis(x),6932583
mean(x),154868
sd(x),345161
sd(x),315114
mean(x),154927
skewness(x),7223651
sum(x),76421
kurt5(x),13269059
kurt5(x),13352021
sd3(x),814243
sd(x),331679
skewness(x),7218731
kurt5(x),13287076
skew4(x),7856857
sum(x),79178
dumbk(x),14510247
kurt5(x),13359900
skew4(x),7808780
sd(x),320079
skew4(x),7666282
sd(x),328347
kurtosis(x),6965389
mean(x),154756
skewness(x),7179291
dumbk(x),14509126
skewness(x),7207120
skew4(x),7602097
kurtosis(x),7140175
skewness(x),7050094
skew4(x),8259070
kurt5(x),13624585
sum(x),79021
sum(x),77940
sd3(x),918686
sd(x),385618
kurtosis(x),7133356
mean(x),158645
dumbk(x),14832426
sd3(x),924339
sum(x),78477
skewness(x),7212925
skewness(x),7307652
skew4(x),7645535
skew4(x),8587022
sum(x),121151
kurtosis(x),7503420
sum(x),76724
mean(x),156312
kurt5(x),13500071
mean(x),160302
kurt5(x),13428836
mean(x),155462
skew4(x),7791546
skew4(x),7728971
mean(x),155492
sd(x),360539
skewness(x),7059986
sd(x),322024
kurt5(x),13351124
skewness(x),7178359
kurt5(x),13406961
mean(x),157272
kurtosis(x),7168328
kurt5(x),13337442
kurt5(x),13478758
sd(x),341690
skewness(x),7263911
skewness(x),6928415
"slow_sd(x, w)",1066821
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13790903
"sd3(x, wts = w)",1038021
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13842039
"slow_sd(x, w)",5485699
"sd3(x, wts = w)",1005162
"slow_sd(x, w)",860920
"sd3(x, wts = w)",954213
"sd3(x, wts = w)",1040159
"sd3(x, wts = w)",973629
"sd3(x, wts = w)",1015836
"slow_sd(x, w)",864967
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13612389
"slow_sd(x, w)",874774
"sd3(x, wts = w)",939883
"sd3(x, wts = w)",932785
"slow_sd(x, w)",860193
"slow_sd(x, w)",875331
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13824821
"sd3(x, wts = w)",965945
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13703296
"slow_sd(x, w)",872227
"slow_sd(x, w)",864024
"sd3(x, wts = w)",942534
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13807108
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13637090
"sd3(x, wts = w)",1041936
"slow_sd(x, w)",927183
"sd3(x, wts = w)",1017258
"sd3(x, wts = w)",984068
"sd3(x, wts = w)",960506
"sd3(x, wts = w)",956253
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13752474
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13754209
"slow_sd(x, w)",1182316
"slow_sd(x, w)",1676830
