expr,time
mean(x),252961
skew4(x),7720089
sd(x),506377
sum(x),78854
mean(x),159832
sum(x),109628
skew4(x),7679123
mean(x),155698
sum(x),88845
skew4(x),7586702
kurt5(x),13175116
kurtosis(x),6905606
sum(x),76145
skew4(x),7649988
dumbk(x),14384051
sum(x),76614
skew4(x),7844363
skewness(x),6979542
sd3(x),700921
kurtosis(x),6979162
sd(x),348615
mean(x),155567
kurt5(x),13140053
sum(x),76559
skewness(x),6915153
sd(x),324165
mean(x),155161
sd3(x),663251
skewness(x),6982599
kurtosis(x),6818289
mean(x),156813
sum(x),76178
kurtosis(x),6854691
mean(x),154815
sum(x),76162
sd(x),443460
kurt5(x),13085458
skew4(x),7636748
skew4(x),7548794
skew4(x),7673819
kurtosis(x),6804356
sum(x),76157
sd3(x),662592
sd3(x),659233
sum(x),76004
skewness(x),6987042
mean(x),154858
sum(x),76046
sd3(x),662088
dumbk(x),26887351
sum(x),76463
sd(x),315023
sd(x),312032
kurtosis(x),7004823
dumbk(x),14340811
sum(x),76402
sum(x),76063
skewness(x),6895294
sum(x),76089
sd(x),321960
sum(x),76266
sd(x),315902
sum(x),76035
kurt5(x),13165058
skew4(x),7548897
skew4(x),7634024
kurt5(x),13150406
mean(x),157678
sum(x),76275
sd(x),318427
sd(x),312295
dumbk(x),14197892
kurt5(x),13181226
kurt5(x),13194398
skew4(x),7559656
sd(x),318673
dumbk(x),14591598
sum(x),76395
sd(x),314347
sum(x),76089
dumbk(x),14487070
kurtosis(x),6883824
kurt5(x),13049112
sd(x),321371
sd3(x),721064
mean(x),194350
dumbk(x),14242449
sd(x),314415
skewness(x),6997196
sum(x),76272
sum(x),75939
skew4(x),7570604
kurtosis(x),6898306
kurt5(x),13036493
dumbk(x),14370315
sum(x),76201
dumbk(x),14324943
dumbk(x),14331417
kurt5(x),13306871
sum(x),76969
sd3(x),665780
kurt5(x),13120703
mean(x),157116
skew4(x),7544278
sd(x),323360
sd3(x),662015
kurt5(x),13700523
sum(x),78147
kurt5(x),13164235
dumbk(x),14431855
kurtosis(x),6867480
skew4(x),7697709
skewness(x),7157226
skewness(x),6961420
sd3(x),671694
skewness(x),7123721
dumbk(x),15917044
mean(x),154848
skew4(x),7587532
sd3(x),696688
sd(x),320290
sd3(x),661076
sum(x),76563
sd3(x),660760
skew4(x),7608094
skew4(x),7540012
mean(x),155944
sd3(x),659764
sd(x),318577
dumbk(x),14255156
skewness(x),6960862
kurt5(x),13175881
sd3(x),789085
dumbk(x),15002293
sum(x),78529
skewness(x),7135255
kurt5(x),13490557
dumbk(x),14664908
sum(x),78439
dumbk(x),14398609
dumbk(x),18196128
sd(x),327179
mean(x),160883
mean(x),158732
sd3(x),692811
kurtosis(x),7938235
kurt5(x),15095355
sd3(x),696870
mean(x),172632
dumbk(x),14635861
sum(x),86951
kurtosis(x),6844709
skewness(x),7085695
skewness(x),6878048
skewness(x),6984408
sd3(x),674375
dumbk(x),14275777
kurt5(x),13157326
kurtosis(x),6889018
sd(x),326597
skewness(x),6906109
skewness(x),7005225
kurt5(x),13045535
mean(x),156171
sd(x),335978
dumbk(x),14286824
kurt5(x),13306618
sum(x),76691
mean(x),155245
kurtosis(x),6931856
dumbk(x),14467005
kurtosis(x),6925670
skewness(x),6953780
skew4(x),7732343
skewness(x),7086956
skewness(x),6944223
dumbk(x),14311812
skew4(x),8205825
skewness(x),7134141
sd3(x),670129
mean(x),155157
sd(x),350133
dumbk(x),14414067
skew4(x),7721963
kurt5(x),13226010
sum(x),76720
kurt5(x),13239949
kurtosis(x),7006912
dumbk(x),14431238
mean(x),158182
sd3(x),726079
kurt5(x),13239634
kurt5(x),13170749
sd3(x),659910
sd3(x),659689
skewness(x),6974323
skewness(x),6897718
mean(x),155464
skew4(x),7615644
sd3(x),693643
sd3(x),659985
skewness(x),6919296
sum(x),76381
kurtosis(x),6844742
kurt5(x),13125449
kurtosis(x),6863821
sd3(x),663467
dumbk(x),14315992
sd(x),314401
sd3(x),666611
skewness(x),6921642
mean(x),154801
dumbk(x),14274236
kurt5(x),13132262
sd3(x),661565
dumbk(x),14395466
sum(x),76541
sd(x),314628
sd3(x),665327
sd3(x),659145
sd3(x),659287
sd3(x),658745
kurtosis(x),6848349
mean(x),154564
sd3(x),661253
sd(x),319812
sd(x),314154
skewness(x),6987340
dumbk(x),14289172
sd3(x),668860
kurtosis(x),6810081
sd3(x),661765
kurt5(x),14393204
kurt5(x),15159097
dumbk(x),15222640
sum(x),76986
skew4(x),8037202
kurtosis(x),7080748
sd(x),354491
kurt5(x),13248615
kurtosis(x),7072522
kurt5(x),13513197
sd(x),388118
skewness(x),6963870
skew4(x),8032560
skew4(x),7635228
skew4(x),7584144
sum(x),77624
sd(x),440196
sd3(x),665104
dumbk(x),14387765
sum(x),76526
kurt5(x),13249790
dumbk(x),14439546
kurtosis(x),6905183
mean(x),166729
sum(x),76616
sum(x),75833
skewness(x),7491352
sum(x),77003
dumbk(x),14382389
sum(x),83166
sum(x),89966
kurtosis(x),7166755
sd3(x),674441
sd3(x),659932
sum(x),76350
mean(x),155924
kurtosis(x),6979363
sd(x),350336
kurtosis(x),6871434
sd(x),324574
kurtosis(x),6868406
sd3(x),669693
kurt5(x),13253268
sum(x),76905
skew4(x),7558108
mean(x),157550
kurt5(x),13397845
skew4(x),7594271
kurt5(x),13144885
skew4(x),8219124
kurtosis(x),7120167
mean(x),159291
skew4(x),7643395
sum(x),76590
kurtosis(x),6884008
mean(x),154634
kurt5(x),13127753
dumbk(x),14662920
kurt5(x),13167708
sd(x),321534
skewness(x),7008614
kurt5(x),13138257
skew4(x),7535765
sd(x),324778
kurtosis(x),6785943
kurtosis(x),6860862
kurtosis(x),6799388
sd(x),334512
sd(x),312598
sd3(x),667842
skewness(x),7198761
dumbk(x),14446604
sd3(x),674496
kurtosis(x),6828655
sd3(x),661585
sum(x),76637
sd3(x),681750
skewness(x),7197233
dumbk(x),14334535
kurt5(x),13231247
kurt5(x),13848762
skewness(x),10165614
skewness(x),7085227
sd3(x),694245
mean(x),155602
dumbk(x),14392503
sd(x),316184
skewness(x),6945326
mean(x),154853
mean(x),153829
sd(x),318546
dumbk(x),14301551
sum(x),76585
skew4(x),7600634
mean(x),155227
skewness(x),6920279
sum(x),76118
skew4(x),7697902
skew4(x),7582663
kurtosis(x),6894516
kurtosis(x),6818646
dumbk(x),14325334
sd3(x),671550
kurt5(x),13168974
sum(x),76651
mean(x),156424
sd3(x),663819
kurt5(x),13055138
kurt5(x),13090431
kurtosis(x),6854083
sd3(x),663136
dumbk(x),14322919
mean(x),154072
sd3(x),666156
skewness(x),6898649
dumbk(x),14259991
kurtosis(x),6803004
kurt5(x),13115849
mean(x),158965
skew4(x),7610242
skewness(x),6901335
kurtosis(x),6846241
kurtosis(x),7070312
skew4(x),7555826
skewness(x),6950536
skew4(x),7542933
kurt5(x),13298773
sum(x),78532
skew4(x),7605227
kurtosis(x),6933673
dumbk(x),14284691
kurt5(x),13044855
sd(x),318982
dumbk(x),14249787
sd3(x),666619
kurtosis(x),19472501
sum(x),81027
kurt5(x),13099304
kurt5(x),13095461
kurtosis(x),6832249
sum(x),106335
sd(x),357533
sd3(x),663472
kurt5(x),13056313
dumbk(x),14252791
sum(x),76378
sum(x),75999
skew4(x),7610545
mean(x),155256
kurt5(x),13032797
dumbk(x),14255233
skew4(x),7586795
kurtosis(x),6792034
sd3(x),662851
sum(x),76183
dumbk(x),14403433
skew4(x),7608444
sd(x),316333
kurt5(x),13057030
dumbk(x),14256543
dumbk(x),14251301
sum(x),76512
mean(x),154376
sd(x),314096
skewness(x),6967234
skew4(x),7615295
mean(x),156183
kurt5(x),13096755
kurtosis(x),6820327
mean(x),155114
sd(x),339434
kurtosis(x),6867858
skewness(x),6900875
skewness(x),6891765
kurtosis(x),6863163
kurt5(x),13620716
skewness(x),7120596
sd3(x),680891
kurt5(x),13433003
kurtosis(x),6978710
mean(x),160898
sd(x),361351
skew4(x),7686625
sd(x),316803
kurt5(x),13499727
skewness(x),6943680
sd3(x),665567
skew4(x),7641735
sd(x),338460
kurt5(x),13115896
sd3(x),671574
kurtosis(x),6883973
sum(x),76399
skew4(x),7621059
mean(x),155720
dumbk(x),14365127
dumbk(x),14349530
skewness(x),6894410
mean(x),154837
kurtosis(x),7030462
sd(x),338509
sd3(x),673444
sd3(x),659760
kurtosis(x),6812242
skewness(x),6972074
skew4(x),7542059
kurtosis(x),7138589
kurtosis(x),7108372
skewness(x),7024782
sd(x),360303
sum(x),76401
dumbk(x),14294681
skewness(x),7029145
mean(x),154944
sd3(x),674178
sum(x),76293
dumbk(x),14319448
skewness(x),7082891
dumbk(x),14981200
kurt5(x),13257314
sd3(x),662544
sd(x),321150
skew4(x),7607610
mean(x),156774
kurtosis(x),6901358
dumbk(x),14278625
sd(x),315591
sd(x),312730
sd(x),318037
dumbk(x),14269225
kurtosis(x),6798523
kurtosis(x),6814705
skewness(x),7207891
dumbk(x),14490010
mean(x),154088
sd3(x),671404
skew4(x),7741804
mean(x),159453
mean(x),154442
skew4(x),7709632
sd3(x),660770
mean(x),154671
sum(x),77021
kurtosis(x),6824325
sum(x),76102
skew4(x),7637819
sd(x),337317
kurt5(x),13089387
skew4(x),8325807
skewness(x),7596449
kurtosis(x),7081557
sd3(x),676339
mean(x),156426
kurtosis(x),7080173
sum(x),80164
kurtosis(x),6942036
skew4(x),7545578
skewness(x),6956525
skew4(x),7698288
sum(x),76375
sd(x),362430
sd3(x),669693
kurtosis(x),6921427
skew4(x),7564455
dumbk(x),14305975
kurt5(x),13089064
sum(x),76703
sd(x),319733
dumbk(x),14291338
mean(x),154233
sd(x),313192
kurt5(x),13044061
mean(x),155456
dumbk(x),14252460
skewness(x),6987067
sd(x),319793
dumbk(x),14483018
sd(x),315162
skewness(x),6923084
kurt5(x),13181990
sd3(x),662491
skew4(x),7540488
mean(x),156365
mean(x),153830
sd3(x),662042
dumbk(x),14297543
kurt5(x),13419433
sd(x),353408
kurt5(x),13156945
skew4(x),7541498
skewness(x),7047573
mean(x),155612
sum(x),76334
mean(x),153990
kurtosis(x),7008221
mean(x),155211
sd3(x),672308
skew4(x),7748515
skew4(x),7600195
mean(x),172906
sd3(x),670140
dumbk(x),14526767
kurtosis(x),7014700
skew4(x),7670796
sd(x),340808
sd3(x),662180
sum(x),76626
sd(x),314560
dumbk(x),14357679
mean(x),154734
sd3(x),667533
kurtosis(x),7019578
sd3(x),708561
dumbk(x),14347735
sd(x),313258
sum(x),76352
dumbk(x),14309503
sd3(x),671133
skew4(x),7753812
skewness(x),6911595
skewness(x),6899100
dumbk(x),14321915
mean(x),154382
kurt5(x),13147954
skew4(x),7624763
skew4(x),7566286
skew4(x),7531222
mean(x),157598
skewness(x),6997632
kurtosis(x),6803969
sd(x),339512
mean(x),155708
dumbk(x),14279069
sd(x),315618
skewness(x),7112399
kurtosis(x),6807655
kurt5(x),13242498
sd3(x),662104
sum(x),76635
dumbk(x),14350641
kurt5(x),13044662
mean(x),154844
skewness(x),6978951
sd3(x),665884
dumbk(x),14288279
sum(x),76421
kurt5(x),13209753
sd3(x),663778
mean(x),155243
mean(x),154199
skewness(x),6901741
sum(x),76113
dumbk(x),14474639
sd3(x),672039
mean(x),154591
kurt5(x),13208969
kurtosis(x),6825341
kurt5(x),13357285
skew4(x),7765691
skew4(x),7768598
kurt5(x),13178154
sd(x),336649
sd(x),315211
dumbk(x),14257332
mean(x),157812
kurt5(x),13096297
mean(x),154813
sd(x),317543
kurtosis(x),7032418
kurt5(x),13153178
dumbk(x),14294000
dumbk(x),14188736
sum(x),76536
kurtosis(x),6878048
skew4(x),7553029
dumbk(x),14257615
sum(x),76352
skew4(x),7708067
dumbk(x),14338423
skewness(x),7114843
mean(x),164284
dumbk(x),14361076
skew4(x),7563585
kurtosis(x),6892508
skewness(x),6899696
kurtosis(x),6800691
mean(x),154692
sd3(x),669024
skewness(x),6986729
kurt5(x),13122858
skewness(x),6883402
sd3(x),662581
skew4(x),7622339
skew4(x),7660100
mean(x),157094
kurt5(x),13225205
sd3(x),663685
skewness(x),7043524
sd(x),364731
sd(x),315738
skewness(x),6993857
kurtosis(x),6808684
mean(x),154734
sd(x),325530
skew4(x),7611554
skewness(x),6905644
dumbk(x),14290320
skew4(x),7559642
kurtosis(x),7405948
kurtosis(x),6979119
skewness(x),7031042
sd3(x),670894
sum(x),76518
skew4(x),7581196
skew4(x),7575014
skew4(x),7702060
sd3(x),663616
sd3(x),659288
skewness(x),7006384
sd3(x),663455
dumbk(x),14274458
sum(x),76591
kurtosis(x),7953452
sd(x),493800
skewness(x),8206573
sd(x),397802
skew4(x),7577215
dumbk(x),14299305
sd(x),315997
mean(x),154440
sd(x),313298
dumbk(x),14304280
sd3(x),673694
mean(x),154846
dumbk(x),14496523
skewness(x),6943771
kurtosis(x),6952878
sd3(x),686760
sum(x),105708
sd3(x),684034
sd(x),343438
kurt5(x),13101447
skew4(x),7605647
mean(x),157354
sum(x),76444
mean(x),154234
mean(x),153599
sum(x),75934
skewness(x),6908041
sd3(x),662016
kurt5(x),13109066
sd(x),326889
sum(x),76408
sd3(x),660877
sd3(x),662779
sd(x),316226
sd(x),311804
dumbk(x),14257916
skewness(x),6969211
skew4(x),7546738
sd(x),323024
kurtosis(x),6810319
sum(x),76265
sd(x),317566
kurtosis(x),6868676
sd3(x),666196
kurt5(x),13258846
skewness(x),6914252
mean(x),155039
sum(x),76282
dumbk(x),14298540
sd(x),315721
dumbk(x),14240503
skewness(x),6905848
sd3(x),674201
skewness(x),6963134
kurtosis(x),6799235
mean(x),154979
sd3(x),667193
sum(x),76459
dumbk(x),14469206
mean(x),154333
sd(x),314247
kurtosis(x),6806727
kurt5(x),13145954
skewness(x),7092507
dumbk(x),25671095
kurtosis(x),6905440
kurtosis(x),6802167
skewness(x),6971799
kurtosis(x),6831707
kurtosis(x),6834698
sd(x),354103
kurtosis(x),6868448
kurt5(x),13183640
mean(x),157256
sum(x),76685
skew4(x),7566209
kurt5(x),13224975
kurt5(x),13103169
sd(x),337257
kurt5(x),13036518
sd3(x),661304
sd(x),315980
kurtosis(x),6875040
skew4(x),7545050
sd(x),321552
sd3(x),661152
sum(x),76471
dumbk(x),14259918
skew4(x),7623192
dumbk(x),14262647
kurtosis(x),6790172
kurtosis(x),6783668
sum(x),76578
kurtosis(x),7133378
dumbk(x),14353819
sum(x),76740
kurt5(x),13057344
kurt5(x),13097042
kurt5(x),13098010
dumbk(x),14348971
kurt5(x),13115325
kurtosis(x),6803751
kurtosis(x),6799714
dumbk(x),14515945
dumbk(x),14448108
skew4(x),7673440
sd(x),321030
skew4(x),7549248
sd(x),315043
sd3(x),685297
skewness(x),7000087
mean(x),154998
sd3(x),661345
sum(x),76487
sd(x),343814
sum(x),76445
skew4(x),7568331
kurtosis(x),6916013
skewness(x),6918740
kurt5(x),13123667
sd(x),334367
mean(x),155612
sd(x),312690
sd3(x),664807
mean(x),154920
mean(x),153687
skewness(x),6897124
mean(x),154738
kurt5(x),13232929
dumbk(x),14287621
mean(x),154463
kurtosis(x),6807052
skewness(x),6976566
sum(x),76681
dumbk(x),14271663
skew4(x),7558383
mean(x),155243
skewness(x),6994465
sum(x),76312
kurt5(x),13173960
sum(x),76406
skewness(x),6976668
sd3(x),665197
mean(x),155012
sd(x),338509
skew4(x),7547594
skewness(x),7010849
kurt5(x),13187478
sd3(x),732905
skew4(x),7535600
skewness(x),6910468
skewness(x),6974878
skew4(x),7547135
sd(x),353680
skewness(x),6971383
dumbk(x),14265803
skew4(x),7558124
skew4(x),7561998
sum(x),76815
kurtosis(x),6877317
mean(x),154667
skewness(x),6894619
sum(x),76313
skew4(x),7606821
dumbk(x),14422316
mean(x),154628
kurtosis(x),6825519
skew4(x),7616797
kurtosis(x),6803783
mean(x),154772
kurt5(x),13490873
sum(x),79504
sd3(x),679595
sum(x),78063
sd3(x),676503
dumbk(x),14582246
dumbk(x),14272131
skewness(x),6900542
kurtosis(x),6815130
mean(x),154938
sd(x),329612
sd(x),313850
mean(x),154146
skewness(x),6970202
sum(x),76320
kurt5(x),13295933
kurt5(x),14790077
sd3(x),675141
sd(x),366934
skewness(x),6969502
kurt5(x),13323150
skew4(x),7542218
sum(x),76839
dumbk(x),14339984
kurt5(x),13183056
skew4(x),7565421
sd(x),324272
skew4(x),7628807
sd(x),320762
kurtosis(x),6995798
mean(x),156775
skewness(x),6974564
dumbk(x),14313978
skewness(x),6901268
skew4(x),7562206
kurtosis(x),6860219
skewness(x),6902186
skew4(x),7620322
kurt5(x),13102586
sum(x),76797
sum(x),75939
sd3(x),662623
sd(x),348001
kurtosis(x),6797621
mean(x),154606
dumbk(x),14258763
sd3(x),669314
sum(x),76375
skewness(x),7053421
skewness(x),6957968
skew4(x),7549845
skew4(x),7891832
sum(x),78149
kurtosis(x),7006573
sum(x),76436
mean(x),155117
kurt5(x),13347964
mean(x),156314
kurt5(x),13097922
mean(x),156422
skew4(x),7697148
skew4(x),7608441
mean(x),156159
sd(x),361278
skewness(x),6958145
sd(x),327749
kurt5(x),13117355
skewness(x),7051011
kurt5(x),13245361
mean(x),162489
kurtosis(x),6931697
kurt5(x),13052249
kurt5(x),13106923
sd(x),358041
skewness(x),6970412
skewness(x),6941158
"slow_sd(x, w)",1000213
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13574028
"sd3(x, wts = w)",802691
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13508925
"slow_sd(x, w)",5321091
"sd3(x, wts = w)",812852
"slow_sd(x, w)",880953
"sd3(x, wts = w)",805203
"sd3(x, wts = w)",798649
"sd3(x, wts = w)",860331
"sd3(x, wts = w)",798758
"slow_sd(x, w)",884770
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13550886
"slow_sd(x, w)",876880
"sd3(x, wts = w)",807567
"sd3(x, wts = w)",805108
"slow_sd(x, w)",865148
"slow_sd(x, w)",872907
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13578096
"sd3(x, wts = w)",806743
"cent_moments(x, max_order = 4, wts = w, na_rm = TRUE, normalize_wts = FALSE)",13502433
"slow_sd(x, w)",879776
"slow_sd(x, w)",867473
