expr,time
mean(x),256726
skew4(x),9165036
sd(x),552376
sum(x),82695
mean(x),165116
sum(x),79755
skew4(x),9513548
mean(x),196629
sum(x),83264
skew4(x),9239237
kurt5(x),16066023
kurtosis(x),25248668
sum(x),80294
skew4(x),9053479
dumbk(x),17260939
sum(x),90491
skew4(x),9063140
skewness(x),8378370
sd3(x),902819
kurtosis(x),8227817
sd(x),531377
mean(x),165997
kurt5(x),15965455
sum(x),81128
skewness(x),8473933
sd(x),478028
mean(x),165004
sd3(x),871854
skewness(x),8488559
kurtosis(x),8513088
mean(x),165761
sum(x),79747
kurtosis(x),8215012
mean(x),163791
sum(x),79804
sd(x),484449
kurt5(x),16082872
skew4(x),9135917
skew4(x),10168636
skew4(x),9398523
kurtosis(x),8353486
sum(x),80474
sd3(x),874392
sd3(x),915773
sum(x),79954
skewness(x),10142935
mean(x),166247
sum(x),79894
sd3(x),875633
dumbk(x),17596109
sum(x),80146
sd(x),497426
sd(x),459897
kurtosis(x),8171709
dumbk(x),17142899
sum(x),82770
sum(x),113579
skewness(x),8777527
sum(x),80405
sd(x),482628
sum(x),79886
sd(x),498026
sum(x),79954
kurt5(x),16060891
skew4(x),9027276
skew4(x),9096957
kurt5(x),16109051
mean(x),173593
sum(x),80572
sd(x),489186
sd(x),459402
dumbk(x),17557104
kurt5(x),16015723
kurt5(x),16013898
skew4(x),8984208
sd(x),464252
dumbk(x),19067116
sum(x),80324
sd(x),460223
sum(x),79733
dumbk(x),17271123
kurtosis(x),8154982
kurt5(x),15962713
sd(x),491362
sd3(x),867194
mean(x),165706
dumbk(x),19626707
sd(x),468364
skewness(x),10256154
sum(x),82474
sum(x),81850
skew4(x),9734693
kurtosis(x),9084481
kurt5(x),16052104
dumbk(x),19838338
sum(x),97749
dumbk(x),30796134
dumbk(x),19213581
kurt5(x),17444902
sum(x),104088
sd3(x),929206
kurt5(x),16486595
mean(x),187178
skew4(x),9365980
sd(x),508816
sd3(x),895837
kurt5(x),16365574
sum(x),85894
kurt5(x),15971343
dumbk(x),17205202
kurtosis(x),8241700
skew4(x),9056957
skewness(x),8516368
skewness(x),8470504
sd3(x),876422
skewness(x),8420374
dumbk(x),19265497
mean(x),162823
skew4(x),9359690
sd3(x),888466
sd(x),489081
sd3(x),886369
sum(x),90715
sd3(x),873436
skew4(x),9048355
skew4(x),8952477
mean(x),166051
sd3(x),864776
sd(x),462159
dumbk(x),17226453
skewness(x),8467394
kurt5(x),16261474
sd3(x),876993
dumbk(x),17319844
sum(x),79972
skewness(x),8444306
kurt5(x),15852423
dumbk(x),17040570
sum(x),80116
dumbk(x),18900510
dumbk(x),17081061
sd(x),481975
mean(x),163193
mean(x),161637
sd3(x),882406
kurtosis(x),8476282
kurt5(x),16016833
sd3(x),887340
mean(x),189154
dumbk(x),17197001
sum(x),80399
kurtosis(x),8181988
skewness(x),8552169
skewness(x),8365345
skewness(x),9998821
sd3(x),901242
dumbk(x),17236625
kurt5(x),16094177
kurtosis(x),8337920
sd(x),473357
skewness(x),8370037
skewness(x),8379832
kurt5(x),16574104
mean(x),170206
sd(x),481837
dumbk(x),17616828
kurt5(x),15931936
sum(x),80280
mean(x),164217
kurtosis(x),8123176
dumbk(x),19358280
kurtosis(x),8176805
skewness(x),8448788
skew4(x),9163402
skewness(x),8452981
skewness(x),8385205
dumbk(x),18360960
skew4(x),9462819
skewness(x),8759975
sd3(x),895042
mean(x),169600
sd(x),484874
dumbk(x),17816650
skew4(x),9238833
kurt5(x),16038714
sum(x),80358
kurt5(x),15870136
kurtosis(x),9745624
dumbk(x),17186489
mean(x),163261
sd3(x),880631
kurt5(x),16011504
kurt5(x),16041729
sd3(x),865051
sd3(x),886007
skewness(x),8406487
skewness(x),8342188
mean(x),164414
skew4(x),9150366
sd3(x),867517
sd3(x),885833
skewness(x),8458455
sum(x),79893
kurtosis(x),8153313
kurt5(x),15943002
kurtosis(x),8273592
sd3(x),869794
dumbk(x),17222848
sd(x),460799
sd3(x),876471
skewness(x),9977371
mean(x),166614
dumbk(x),17106880
kurt5(x),18342334
sd3(x),949990
dumbk(x),17661222
sum(x),82715
sd(x),473853
sd3(x),903788
sd3(x),880377
sd3(x),877374
sd3(x),920635
kurtosis(x),8314309
mean(x),165615
sd3(x),869356
sd(x),471522
sd(x),459989
skewness(x),8374687
dumbk(x),17209432
sd3(x),878185
kurtosis(x),8454664
sd3(x),894844
kurt5(x),16103635
kurt5(x),16125875
dumbk(x),19654186
sum(x),80288
skew4(x),9148525
kurtosis(x),8236485
sd(x),470024
kurt5(x),16131039
kurtosis(x),8320494
kurt5(x),16034543
sd(x),476324
skewness(x),8316486
skew4(x),8937546
skew4(x),8923686
skew4(x),8954821
sum(x),80407
sd(x),468210
sd3(x),867027
dumbk(x),17296200
sum(x),80213
kurt5(x),16110619
dumbk(x),17451353
kurtosis(x),8242594
mean(x),164843
sum(x),79834
sum(x),79592
skewness(x),10122600
sum(x),118605
dumbk(x),17176229
sum(x),79912
sum(x),79633
kurtosis(x),8191048
sd3(x),883811
sd3(x),863794
sum(x),80154
mean(x),164868
kurtosis(x),8384083
sd(x),499285
kurtosis(x),8275727
sd(x),466826
kurtosis(x),8422611
sd3(x),880280
kurt5(x),16056459
sum(x),80428
skew4(x),9248801
mean(x),206544
kurt5(x),16239463
skew4(x),9162137
kurt5(x),16304223
skew4(x),9140423
kurtosis(x),8241905
mean(x),164755
skew4(x),9013898
sum(x),80302
kurtosis(x),8187637
mean(x),163826
kurt5(x),15984522
dumbk(x),19102926
kurt5(x),16202068
sd(x),474467
skewness(x),8613663
kurt5(x),16220829
skew4(x),9131514
sd(x),503874
kurtosis(x),8536117
kurtosis(x),8724055
kurtosis(x),8405716
sd(x),522454
sd(x),473296
sd3(x),904196
skewness(x),9179244
dumbk(x),18319796
sd3(x),1006299
kurtosis(x),9496876
sd3(x),904971
sum(x),82181
sd3(x),887210
skewness(x),8656841
dumbk(x),19336583
kurt5(x),16385537
kurt5(x),16433643
skewness(x),8556693
skewness(x),9033023
sd3(x),981772
mean(x),185541
dumbk(x),17748664
sd(x),496522
skewness(x),8427166
mean(x),163766
mean(x),161764
sd(x),465250
dumbk(x),17818380
sum(x),89730
skew4(x),9769455
mean(x),170278
skewness(x),8550532
sum(x),82048
skew4(x),9214585
skew4(x),9289354
kurtosis(x),10149581
kurtosis(x),8239706
dumbk(x),17196966
sd3(x),882078
kurt5(x),15882019
sum(x),80505
mean(x),164899
sd3(x),865753
kurt5(x),15885956
kurt5(x),15880066
kurtosis(x),8150812
sd3(x),868443
dumbk(x),17346201
mean(x),163443
sd3(x),873860
skewness(x),8354555
dumbk(x),17363424
kurtosis(x),9841173
kurt5(x),15910144
mean(x),168062
skew4(x),8959875
skewness(x),8298727
kurtosis(x),8115215
kurtosis(x),8139116
skew4(x),8941699
skewness(x),8363122
skew4(x),9054073
kurt5(x),17790341
sum(x),94371
skew4(x),9850528
kurtosis(x),8565143
dumbk(x),17758577
kurt5(x),16043715
sd(x),479245
dumbk(x),17688266
sd3(x),939334
kurtosis(x),10179279
sum(x),101082
kurt5(x),16253564
kurt5(x),16045010
kurtosis(x),8195207
sum(x),79979
sd(x),509416
sd3(x),871479
kurt5(x),16330882
dumbk(x),17425077
sum(x),82511
sum(x),97684
skew4(x),9042720
mean(x),165404
kurt5(x),16364487
dumbk(x),17278208
skew4(x),9036850
kurtosis(x),8239889
sd3(x),892356
sum(x),80071
dumbk(x),17288898
skew4(x),9272262
sd(x),500955
kurt5(x),16624990
dumbk(x),19144342
dumbk(x),17232811
sum(x),80197
mean(x),183258
sd(x),461542
skewness(x),8371940
skew4(x),9061732
mean(x),166126
kurt5(x),16346496
kurtosis(x),8648234
mean(x),165893
sd(x),482950
kurtosis(x),8246972
skewness(x),8497470
skewness(x),8559807
kurtosis(x),8323832
kurt5(x),16047985
skewness(x),8418201
sd3(x),906282
kurt5(x),15863788
kurtosis(x),9777480
mean(x),166576
sd(x),485916
skew4(x),8947824
sd(x),464737
kurt5(x),16038771
skewness(x),8389794
sd3(x),870121
skew4(x),8967153
sd(x),468453
kurt5(x),16535704
