expr,time
mean(x),304267
skew4(x),10987365
sd(x),669405
sum(x),100518
mean(x),202966
sum(x),97800
skew4(x),10549945
mean(x),194719
sum(x),94806
skew4(x),10267873
kurt5(x),17715239
kurtosis(x),8976718
sum(x),86514
skew4(x),9434018
dumbk(x),18721391
sum(x),86822
skew4(x),9631756
skewness(x),9103336
sd3(x),1643230
kurtosis(x),8857529
sd(x),522526
mean(x),178829
kurt5(x),17186243
sum(x),86978
skewness(x),9182288
sd(x),511553
mean(x),173823
sd3(x),1606207
skewness(x),9099046
kurtosis(x),8644206
mean(x),164223
sum(x),79663
kurtosis(x),8299265
mean(x),163693
sum(x),79651
sd(x),480786
kurt5(x),16007394
skew4(x),9084086
skew4(x),8970058
skew4(x),8953990
kurtosis(x),8185809
sum(x),79775
sd3(x),1479388
sd3(x),1539446
sum(x),79634
skewness(x),9925599
mean(x),164585
sum(x),79871
sd3(x),1485344
dumbk(x),17037233
sum(x),79837
sd(x),460427
sd(x),460110
kurtosis(x),8103794
dumbk(x),18689325
sum(x),80133
sum(x),79607
skewness(x),8414420
sum(x),79690
sd(x),466042
sum(x),79674
sd(x),459166
sum(x),79606
kurt5(x),16046721
skew4(x),8932240
skew4(x),8925412
kurt5(x),16174834
mean(x),191061
sum(x),80353
sd(x),466960
sd(x),458962
dumbk(x),17213797
kurt5(x),17766972
kurt5(x),16045548
skew4(x),9136983
sd(x),496928
dumbk(x),23706269
sum(x),105429
sd(x),678435
sum(x),87967
dumbk(x),18784931
kurtosis(x),8632737
kurt5(x),16580034
sd(x),492933
sd3(x),1702794
mean(x),176355
dumbk(x),18156644
sd(x),473046
skewness(x),8644178
sum(x),82275
sum(x),81688
skew4(x),10276192
kurtosis(x),9368587
kurt5(x),17758089
dumbk(x),18532599
sum(x),82264
dumbk(x),21176104
dumbk(x),17466167
kurt5(x),16040609
sum(x),80689
sd3(x),1593618
kurt5(x),17736277
mean(x),222992
skew4(x),9814630
sd(x),485606
sd3(x),1477601
kurt5(x),16446630
sum(x),90637
kurt5(x),16150917
dumbk(x),17721580
kurtosis(x),8272307
