expr,time
mean(x),261435
skew4(x),9171903
sd(x),564132
sum(x),93886
mean(x),176756
sum(x),79891
skew4(x),9334438
mean(x),165911
sum(x),80031
skew4(x),9320970
kurt5(x),16445278
kurtosis(x),8404985
sum(x),80135
skew4(x),9337908
dumbk(x),17549453
sum(x),80550
skew4(x),9122362
skewness(x),8592426
sd3(x),1200660
kurtosis(x),8214282
sd(x),523802
mean(x),165263
kurt5(x),16173112
sum(x),81365
skewness(x),8495497
sd(x),481233
mean(x),166214
sd3(x),1125935
skewness(x),8492187
kurtosis(x),8201711
mean(x),165157
sum(x),79712
kurtosis(x),8152501
mean(x),205004
sum(x),119099
sd(x),581853
kurt5(x),16098530
skew4(x),9036474
skew4(x),9213905
skew4(x),9130907
kurtosis(x),8389526
sum(x),80332
sd3(x),1148668
sd3(x),1115147
sum(x),79727
skewness(x),9995159
mean(x),167577
sum(x),79866
sd3(x),1159574
dumbk(x),17409053
sum(x),87275
sd(x),537884
sd(x),460530
kurtosis(x),8156510
dumbk(x),17343319
sum(x),80756
sum(x),79564
skewness(x),8520515
sum(x),87360
sd(x),512662
sum(x),95569
sd(x),459138
sum(x),79693
kurt5(x),16006174
skew4(x),9157209
skew4(x),9262829
kurt5(x),15918621
mean(x),171655
sum(x),80143
sd(x),467534
sd(x),459034
dumbk(x),17661402
kurt5(x),16056328
kurt5(x),16191426
skew4(x),9062616
sd(x),499109
dumbk(x),19190280
sum(x),80545
sd(x),465846
sum(x),79822
dumbk(x),17305593
kurtosis(x),8127470
kurt5(x),16301679
sd(x),515188
sd3(x),1147864
mean(x),173990
dumbk(x),17456615
sd(x),460076
skewness(x),8493498
sum(x),120447
sum(x),103228
skew4(x),9109472
kurtosis(x),8359926
kurt5(x),15957999
dumbk(x),17308173
sum(x),80465
dumbk(x),19026861
dumbk(x),22010580
kurt5(x),16323528
sum(x),81137
sd3(x),1118924
kurt5(x),16580748
mean(x),170986
skew4(x),9216976
sd(x),473002
sd3(x),1139516
kurt5(x),16019136
sum(x),140607
kurt5(x),16410367
dumbk(x),17272879
kurtosis(x),8208646
skew4(x),9513464
skewness(x),8734715
skewness(x),8738696
sd3(x),1189496
skewness(x),8747145
dumbk(x),18868449
mean(x),162933
skew4(x),9096541
sd3(x),1139951
sd(x),541489
sd3(x),1132596
sum(x),80233
sd3(x),1117062
skew4(x),9067004
skew4(x),9274267
mean(x),182424
sd3(x),1209692
sd(x),493063
dumbk(x),17799439
skewness(x),8493291
kurt5(x),16656313
sd3(x),1350416
dumbk(x),18238413
sum(x),102332
skewness(x),8687887
kurt5(x),17422897
dumbk(x),18329770
sum(x),83414
dumbk(x),20335485
dumbk(x),20080153
sd(x),496816
mean(x),171917
mean(x),170653
sd3(x),1197676
kurtosis(x),8711263
kurt5(x),16827353
sd3(x),1174567
mean(x),176513
dumbk(x),18193186
sum(x),82556
kurtosis(x),8926188
skewness(x),8860471
skewness(x),8939021
skewness(x),10719317
sd3(x),1165197
dumbk(x),17963030
kurt5(x),16773828
kurtosis(x),8498249
sd(x),491224
skewness(x),8739343
skewness(x),9549078
kurt5(x),16768246
mean(x),177319
sd(x),495412
dumbk(x),18040796
kurt5(x),16549958
sum(x),84851
mean(x),169920
kurtosis(x),8742226
dumbk(x),20312295
kurtosis(x),8719275
skewness(x),8738007
skew4(x),9576246
skewness(x),8728871
skewness(x),8542374
dumbk(x),17849261
skew4(x),10058257
skewness(x),8812604
sd3(x),1152422
mean(x),167337
sd(x),527315
dumbk(x),17767596
skew4(x),9226208
kurt5(x),16057502
sum(x),80340
kurt5(x),16167928
kurtosis(x),10058451
dumbk(x),17446662
mean(x),163230
sd3(x),1159107
kurt5(x),16281895
kurt5(x),16468822
sd3(x),1211866
sd3(x),1210451
skewness(x),8597829
skewness(x),8591098
mean(x),166e3
skew4(x),9151457
sd3(x),1281581
sd3(x),1184629
skewness(x),8394033
sum(x),80060
kurtosis(x),9240016
kurt5(x),16396285
kurtosis(x),8317781
sd3(x),1125645
dumbk(x),17495768
sd(x),484280
sd3(x),1208702
skewness(x),10136492
mean(x),168721
dumbk(x),17376554
kurt5(x),16081710
sd3(x),1133037
dumbk(x),17391939
sum(x),80414
sd(x),460639
sd3(x),1127213
sd3(x),1118152
sd3(x),1114689
sd3(x),1114017
kurtosis(x),8315261
mean(x),165403
sd3(x),1124496
sd(x),471900
sd(x),460760
skewness(x),8425327
dumbk(x),17510877
sd3(x),1153591
kurtosis(x),8131123
sd3(x),1119358
kurt5(x),19008473
kurt5(x),16515206
dumbk(x),19126906
sum(x),92213
skew4(x),9176183
kurtosis(x),8400262
sd(x),478764
kurt5(x),16469504
kurtosis(x),8379216
kurt5(x),16034561
sd(x),486269
skewness(x),8482988
skew4(x),9309785
skew4(x),9599841
skew4(x),9230581
sum(x),80776
